"x","y","Spec_id.x","Study_id","Spec_Latin_GBIF","Spec_Latin_GenDivRange","Genus_GBIF","Family_GBIF","Order_GBIF","Spec_common_EOL","Spec_id.y","Pop_id","Geog_1","Geog_2","N","A","A_mean","A_tot","A_eff","A_private","N_genot","Ar","Ho","He","GD_Nei","D_clonal","F_is","F_is_sig","Ploidy","elev","Ice","Tectonic","SeaLevel","Topography","History","stream_size","elevation","slope"
-87.65491745,45.36433102,"ACFU","ACFU-4","Acipenser fulvescens Rafinesque; 1817","Acipenser fulvescens","Acipenser","Acipenseridae","Acipenseriformes","Lake Sturgeon","ACFU","ACFU-4-9","United States of America","Menominee River",21,4.308,NA,NA,NA,NA,NA,NA,NA,0.4943,NA,NA,NA,NA,"diploid",206,"Glaciated","Stable","Unflooded","Lowland","Stable Glaciated Lowland",0.0704584636485614,200,0.350188106298447
-86.64704303,38.7986884,"ACFU","ACFU-5","Acipenser fulvescens Rafinesque; 1817","Acipenser fulvescens","Acipenser","Acipenseridae","Acipenseriformes","Lake Sturgeon","ACFU","ACFU-5-1","United States of America","White River",79,3.3,NA,NA,NA,NA,NA,NA,0.439,0.419,NA,NA,-0.04773,NA,"diploid",172,"Unglaciated","Stable","Unflooded","Lowland","Stable Unglaciated Lowland",0.357674444271816,144,0.318121671676636
-91.86679884,38.66509918,"ACFU","ACFU-5","Acipenser fulvescens Rafinesque; 1817","Acipenser fulvescens","Acipenser","Acipenseridae","Acipenseriformes","Lake Sturgeon","ACFU","ACFU-5-4","United States of America","Mississippi River",101,4.7,NA,NA,NA,NA,NA,NA,0.507,0.486,NA,NA,-0.04321,NA,"diploid",170,"Unglaciated","Stable","Unflooded","Lowland","Stable Unglaciated Lowland",0.113328685307003,156,0.542920112609863
-90.90580397,39.37768253,"ACFU","ACFU-5","Acipenser fulvescens Rafinesque; 1817","Acipenser fulvescens","Acipenser","Acipenseridae","Acipenseriformes","Lake Sturgeon","ACFU","ACFU-5-5","United States of America","Missouri River",48,4.1,NA,NA,NA,NA,NA,NA,0.521,0.498,NA,NA,-0.04618,NA,"diploid",142,"Unglaciated","Stable","Unflooded","Lowland","Stable Unglaciated Lowland",1.27032218486747,136,0.0982661694288254
-88.525662,46.89634977,"ACFU","ACFU-5","Acipenser fulvescens Rafinesque; 1817","Acipenser fulvescens","Acipenser","Acipenseridae","Acipenseriformes","Lake Sturgeon","ACFU","ACFU-5-6","United States of America","Peshtigo River",43,4.1,NA,NA,NA,NA,NA,NA,0.449,0.473,NA,NA,0.05074,NA,"diploid",207,"Glaciated","Stable","Unflooded","Lowland","Stable Glaciated Lowland",0.0704584636485614,190,0.0865856409072876
-88.525662,46.89634977,"ACFU","ACFU-5","Acipenser fulvescens Rafinesque; 1817","Acipenser fulvescens","Acipenser","Acipenseridae","Acipenseriformes","Lake Sturgeon","ACFU","ACFU-5-7","United States of America","Sturgeon River",30,3.9,NA,NA,NA,NA,NA,NA,0.512,0.537,NA,NA,0.046555,NA,"diploid",207,"Glaciated","Stable","Unflooded","Lowland","Stable Glaciated Lowland",0.0704584636485614,190,0.0865856409072876
-90.70654149,46.04684945,"ACFU","ACFU-5","Acipenser fulvescens Rafinesque; 1817","Acipenser fulvescens","Acipenser","Acipenseridae","Acipenseriformes","Lake Sturgeon","ACFU","ACFU-5-8","United States of America","E. Fork Chippewa River",18,3.5,NA,NA,NA,NA,NA,NA,0.561,0.526,NA,NA,-0.06654,NA,"diploid",460,"Glaciated","Stable","Unflooded","Highland","Stable Glaciated Highland",1.31828315050335,443,0.549329459667206
-84.8657941,38.13424754,"AMPE","AMPE-1","Ammocrypta pellucida (Putnam; 1863)","Ammocrypta pellucida","Ammocrypta","Percidae","Perciformes","Eastern Sand Darter","AMPE","AMPE-1-1","United States of America","Big Creek",39,NA,NA,NA,NA,NA,NA,NA,0.728,0.741,NA,NA,NA,NA,"diploid",221,"Unglaciated","Stable","Unflooded","Lowland","Stable Unglaciated Lowland",0.357674444271816,160,8.57838439941406
-84.99895752,40.05343394,"AMPE","AMPE-1","Ammocrypta pellucida (Putnam; 1863)","Ammocrypta pellucida","Ammocrypta","Percidae","Perciformes","Eastern Sand Darter","AMPE","AMPE-1-10","United States of America","Maumee river",161,NA,NA,NA,NA,NA,NA,NA,0.668,0.694,NA,NA,NA,NA,"diploid",361,"Glaciated","Stable","Unflooded","Highland","Stable Glaciated Highland",0.357674444271816,364,0.272968620061874
-82.93457648,37.15380785,"AMPE","AMPE-1","Ammocrypta pellucida (Putnam; 1863)","Ammocrypta pellucida","Ammocrypta","Percidae","Perciformes","Eastern Sand Darter","AMPE","AMPE-1-11","United States of America","Red River",17,NA,NA,NA,NA,NA,NA,NA,0.58,0.687,NA,NA,NA,NA,"diploid",447,"Unglaciated","Stable","Unflooded","Highland","Stable Unglaciated Highland",0.0158733491562901,389,14.3174524307251
-72.85393803,43.02120555,"AMPE","AMPE-1","Ammocrypta pellucida (Putnam; 1863)","Ammocrypta pellucida","Ammocrypta","Percidae","Perciformes","Eastern Sand Darter","AMPE","AMPE-1-2","United States of America","Champlain Canal",11,NA,NA,NA,NA,NA,NA,NA,0.491,0.445,NA,NA,NA,NA,"diploid",521,"Glaciated","Stable","Unflooded","Highland","Stable Glaciated Highland",0.0667236320429082,553,7.10635709762573
-85.91369014,39.00061478,"AMPE","AMPE-1","Ammocrypta pellucida (Putnam; 1863)","Ammocrypta pellucida","Ammocrypta","Percidae","Perciformes","Eastern Sand Darter","AMPE","AMPE-1-3","United States of America","Deer Creek",32,NA,NA,NA,NA,NA,NA,NA,0.712,0.727,NA,NA,NA,NA,"diploid",177,"Unglaciated","Stable","Unflooded","Lowland","Stable Unglaciated Lowland",0.357674444271816,172,4.47265477523148e-16
-84.95145523,39.1340789,"AMPE","AMPE-1","Ammocrypta pellucida (Putnam; 1863)","Ammocrypta pellucida","Ammocrypta","Percidae","Perciformes","Eastern Sand Darter","AMPE","AMPE-1-4","United States of America","East Fork White River",32,NA,NA,NA,NA,NA,NA,NA,0.694,0.747,NA,NA,NA,NA,"diploid",256,"Unglaciated","Stable","Unflooded","Highland","Stable Unglaciated Highland",0.357674444271816,269,1.71377217769623
-85.90892046,40.15254624,"AMPE","AMPE-1","Ammocrypta pellucida (Putnam; 1863)","Ammocrypta pellucida","Ammocrypta","Percidae","Perciformes","Eastern Sand Darter","AMPE","AMPE-1-5","United States of America","Eel river",30,NA,NA,NA,NA,NA,NA,NA,0.676,0.683,NA,NA,NA,NA,"diploid",248,"Glaciated","Stable","Unflooded","Lowland","Stable Glaciated Lowland",0.357674444271816,248,0.563450038433075
-80.88342396,39.13539694,"AMPE","AMPE-1","Ammocrypta pellucida (Putnam; 1863)","Ammocrypta pellucida","Ammocrypta","Percidae","Perciformes","Eastern Sand Darter","AMPE","AMPE-1-7","United States of America","Hocking River",164,NA,NA,NA,NA,NA,NA,NA,0.625,0.648,NA,NA,NA,NA,"diploid",309,"Unglaciated","Stable","Unflooded","Highland","Stable Unglaciated Highland",0.0158733491562901,326,10.667444229126
-82.99296424,38.03541345,"AMPE","AMPE-1","Ammocrypta pellucida (Putnam; 1863)","Ammocrypta pellucida","Ammocrypta","Percidae","Perciformes","Eastern Sand Darter","AMPE","AMPE-1-8","United States of America","Licking River",19,NA,NA,NA,NA,NA,NA,NA,0.714,0.777,NA,NA,NA,NA,"diploid",300,"Unglaciated","Stable","Unflooded","Highland","Stable Unglaciated Highland",0.0158733491562901,294,6.30242395401001
-80.98580824,39.06216287,"AMPE","AMPE-1","Ammocrypta pellucida (Putnam; 1863)","Ammocrypta pellucida","Ammocrypta","Percidae","Perciformes","Eastern Sand Darter","AMPE","AMPE-1-9","United States of America","Little Muskingum River",79,NA,NA,NA,NA,NA,NA,NA,0.677,0.7,NA,NA,NA,NA,"diploid",310,"Unglaciated","Stable","Unflooded","Highland","Stable Unglaciated Highland",0.0158733491562901,304,10.1448211669922
-90.07111963,45.92545719,"AMRU","AMRU-1","Ambloplites rupestris (Rafinesque; 1817)","Ambloplites rupestris","Ambloplites","Centrarchidae","Perciformes","Rock Bass","AMRU","AMRU-1-15","United States of America","Pike/Round Chain",28,3.4,NA,NA,NA,NA,NA,NA,0.396,0.379,NA,NA,NA,NA,"diploid",477,"Glaciated","Stable","Unflooded","Highland","Stable Glaciated Highland",0.0704584636485614,472,6.957463513089e-16
-88.14583027,45.90444927,"AMRU","AMRU-1","Ambloplites rupestris (Rafinesque; 1817)","Ambloplites rupestris","Ambloplites","Centrarchidae","Perciformes","Rock Bass","AMRU","AMRU-1-20","United States of America","Spread Eagles Chain",43,2.9,NA,NA,NA,NA,NA,NA,0.377,0.38,NA,NA,NA,NA,"diploid",369,"Glaciated","Stable","Unflooded","Highland","Stable Glaciated Highland",0.0704584636485614,357,2.5701916217804
-91.43806124,45.89127891,"AMRU","AMRU-1","Ambloplites rupestris (Rafinesque; 1817)","Ambloplites rupestris","Ambloplites","Centrarchidae","Perciformes","Rock Bass","AMRU","AMRU-1-28","United States of America","Lac Courte Oreilles",58,13.36,NA,NA,NA,NA,NA,NA,0.758,0.767,NA,NA,NA,NA,"diploid",390,"Glaciated","Stable","Unflooded","Highland","Stable Glaciated Highland",1.31828315050335,392,1.98784677852778e-15
-89.30349714,45.65959349,"AMRU","AMRU-1","Ambloplites rupestris (Rafinesque; 1817)","Ambloplites rupestris","Ambloplites","Centrarchidae","Perciformes","Rock Bass","AMRU","AMRU-1-33","United States of America","Moen Chain",44,8.5,NA,NA,NA,NA,NA,NA,0.625,0.629,NA,NA,NA,NA,"diploid",482,"Glaciated","Stable","Unflooded","Highland","Stable Glaciated Highland",0.0704584636485614,480,0.883827328681946
-90.07111963,45.92545719,"AMRU","AMRU-1","Ambloplites rupestris (Rafinesque; 1817)","Ambloplites rupestris","Ambloplites","Centrarchidae","Perciformes","Rock Bass","AMRU","AMRU-1-34","United States of America","Pike/Round Chain",48,10.14,NA,NA,NA,NA,NA,NA,0.615,0.648,NA,NA,NA,NA,"diploid",477,"Glaciated","Stable","Unflooded","Highland","Stable Glaciated Highland",0.0704584636485614,472,6.957463513089e-16
-91.43806124,45.89127891,"AMRU","AMRU-1","Ambloplites rupestris (Rafinesque; 1817)","Ambloplites rupestris","Ambloplites","Centrarchidae","Perciformes","Rock Bass","AMRU","AMRU-1-7","United States of America","Lac Courte Oreilles",58,4.1,NA,NA,NA,NA,NA,NA,0.414,0.424,NA,NA,NA,NA,"diploid",390,"Glaciated","Stable","Unflooded","Highland","Stable Glaciated Highland",1.31828315050335,392,1.98784677852778e-15
-122.1370493,37.94547889,"ARIN","ARIN-1","Archoplites interruptus (Girard; 1854)","Archoplites interruptus","Archoplites","Centrarchidae","Perciformes","Sacramento Perch","ARIN","ARIN-1-1","United States of America","Sindicich Lagoon",33,3.25,NA,NA,NA,NA,NA,NA,0.3975,0.4167,NA,NA,NA,NA,"diploid",279,"Unglaciated","Active","Unflooded","Highland","Active Unglaciated Highland",0.102556588325092,364,6.10195970535278
