Etheostoma tuscumbia microsatellite DNA data
Eca10
Eca46
EosC6
EosD11
EosD107
EosC3
Esc26b
POP
          TU248 , 248264 220228 246262 168168 204204 198222 177189 
          TU249 , 248276 228228 246246 148148 204204 218222 177185 
          TU250 , 248268 220224 238246 148148 204204 218238 177177 
          TU251 , 252272 208224 246246 148148 196204 198222 177177 
          TU252 , 256272 220228 246246 148148 204204 198230 177189 
          TU253 , 208272 208228 246246 148148 204208 198222 177185 
          TU254 , 236248 220232 238262 168168 196204 202222 169177 
          TU255 , 248280 220228 246246 148148 196204 198222 169177 
          TU256 , 276284 220228 238246 148148 204204 198198 177189 
          TU257 , 236260 224224 246246 148148 204204 198198 169177 
          TU258 , 268276 228228 238262 148148 204204 198222 169189 
          TU259 , 244276 208228 246246 148148 204204 218222 177177 
          TU260 , 256256 224228 238246 148156 196204 198198 177185 
POP
          TU187 , 232268 216216 238294 148148 204204 206242 177181 
          TU188 , 244268 224224 246258 148148 204208 198198 173181 
          TU189 , 252256 224228 242258 148148 196204 218242 177177 
          TU190 , 248264 216224 238258 148148 204204 238242 173177 
          TU191 , 248268 220224 238246 148148 196204 198202 169181 
          TU192 , 260292 216240 254258 148148 204204 198218 173185 
          TU193 , 272292 212236 242246 148148 204208 218226 177181 
          TU194 , 248272 220224 250254 156156 196204 198198 177177 
          TU195 , 256276 220228 246254 156156 204204 198198 169173 
          TU196 , 264276 224224 246262 148148 204204 198226 173177 
          TU197 , 276296 212228 254258 148148 204204 242242 169173 
          TU198 , 216232 224228 246302 148148 204204 218226 173177 
          TU199 , 260264 224228 246246 148148 204204 198198 173177 
          TU200 , 264264 220224 246246 148148 196204 202222 177181 
          TU201 , 248276 220232 246246 148148 204204 198226 169177 
          TU202 , 216276 216220 246258 148148 204208 206226 165173 
          TU203 , 280288 220224 238246 148148 196204 218238 173181 
          TU204 , 272296 216232 238246 148168 204204 238238 173173 
          TU205 , 252276 216224 238246 148152 204204 198226 173185 
          TU206 , 252292 224224 246246 148148 204204 202218 169185 
          TU207 , 244288 208228 250254 148148 204204 198218 177177 
          TU209 , 244268 224228 258326 160160 204204 198198 177185 
          TU210 , 240248 220228 246254 148148 204204 202210 173173 
POP
          TU307 , 208248 220220 246246 160160 204204 214230 197201 
          TU308 , 228240 228228 250250 160160 204204 254254 193193 
          TU309 , 244248 220224 246250 160160 196204 198198 193193 
          TU310 , 244252 220228 246250 160160 204204 226254 193193 
          TU311 , 244244 220224 246254 160160 204204 214214 197201 
          TU312 , 244252 220228 246254 160160 204204 214254 197197 
          TU313 , 204208 224224 246250 160160 204204 198218 193193 
          TU314 , 208248 224224 238246 148148 204204 218218 193193 
          TU315 , 204240 220220 238246 148160 204204 218218 193205 
          TU316 , 204244 224228 250250 160160 204204 230230 201201 
          TU317 , 228228 220228 246246 160160 204204 210210 193193 
          TU318 , 240248 220220 238246 160160 204204 198218 193205 
          TU319 , 244248 220220 246250 160160 204204 198198 197201 
          TU320 , 208228 220224 246246 160160 204204 210230 193193 
          TU321 , 244248 220220 246258 160160 204204 230230 197197 
          TU322 , 240244 228228 246246 160160 204204 222234 197201 
          TU323 , 240240 220220 246250 148160 204204 210230 193193 
          TU324 , 244248 228228 246254 160160 204204 214234 197201 
          TU325 , 244244 220228 246246 160160 204204 210226 193193 
          TU326 , 208248 220228 246254 148160 204204 214214 193201 
          TU327 , 204208 220220 246246 160160 204204 214214 197197 
          TU328 , 228248 220224 246250 148160 204204 198210 193193 
          TU329 , 244248 220224 254258 148160 204204 198226 193193 
          TU330 , 204244 220224 246254 160160 204204 226234 193197 
POP
          TU431 , 244264 220224 250254 148152 204204 198226 181185 
          TU432 , 208256 220220 238254 156156 204204 198198 169177 
          TU433 , 244244 220224 246258 156156 204208 198230 177185 
          TU434 , 252252 224224 246254 148148 204208 198198 177185 
          TU435 , 248256 224228 238262 148164 204204 198262 169177 
          TU436 , 248280 224232 246254 168168 204204 198198 177189 
          TU437 , 244252 212224 246246 148156 204204 198274 185185 
          TU438 , 208244 220224 254258 156156 204208 198230 181185 
          TU439 , 248296 216224 242258 148152 204204 198198 177197 
          TU440 , 248252 220224 238246 148156 204204 198262 173177 
          TU441 , 236240 224228 238238 148148 204204 198226 177185 
          TU442 , 264280 224224 238238 148148 204204 198266 181185 
          TU443 , 236264 212220 238238 148148 204208 198202 181193 
          TU444 , 260264 228232 238246 164164 204204 194262 169169 
          TU445 , 264280 220236 238254 148148 204204 198262 181185 
