Fish_ID	Cluster_ID	Reach_ID	Sfo_C113a	Sfo_C113b	Sfo_C88a	Sfo_C88b	Sfo_D100a	Sfo_D100b	Sfo_D75a	Sfo_D75b	Sfo_C115a	Sfo_C115b	Sfo_C129a	Sfo_C129b	Sfo_C24a	Sfo_C24b	Ssa_D237a	Ssa_D237b
Ind-583	KentMiddle	K35	128	132	183	183	219	219	176	181	242	358	223	232	116	119	295	420
Ind-584	KentMiddle	K36	132	132	183	183	219	219	181	181	246	246	223	223	116	119	416	420
Ind-585	KentMiddle	K36	132	132	183	186	219	237	181	181	228	346	223	232	116	119	286	286
Ind-586	KentMiddle	K36	132	148	183	183	219	228	176	181	228	242	232	232	119	119	416	433
Ind-587	KentUp	K37	132	152	183	183	215	219	176	214	228	228	223	232	116	116	295	433
Ind-588	KentUp	K37	128	132	183	183	219	219	181	181	242	242	223	223	119	119	295	433
Ind-589	KentUp	K37	132	132	183	183	219	219	181	181	312	358	232	232	116	119	300	433
Ind-590	KentUp	K38	132	152	183	186	215	228	176	181	228	242	232	232	119	119	416	416
Ind-591	KentUp	K38	132	132	186	186	219	219	176	181	242	246	223	232	116	119	433	486
Ind-592	KentUp	K38	132	132	183	183	219	219	176	197	246	346	223	223	116	119	300	433
Ind-593	KentUp	K39	132	132	183	186	219	233	181	181	228	238	223	232	113	119	291	291
Ind-594	KentUp	K39	132	132	183	186	215	215	176	181	228	242	223	223	116	116	295	420
Ind-595	KentUp	K39	132	132	183	183	219	228	181	214	228	308	232	232	116	119	416	433
Ind-596	KentUp	K40	132	132	183	183	219	219	176	181	228	358	223	223	116	119	295	300
Ind-597	KentUp	K40	132	152	183	183	219	228	181	181	228	308	232	232	116	119	416	433
Ind-598	KentUp	K40	132	132	183	183	219	219	181	214	242	246	223	223	116	119	416	420
Ind-599	KentUp	K41	132	132	183	183	215	219	181	214	228	308	232	232	119	119	286	433
Ind-600	KentUp	K41	132	132	183	183	219	219	176	181	242	242	223	232	116	119	295	486
Ind-601	KentUp	K41	132	148	183	183	215	215	176	181	228	346	223	223	116	119	295	308
Ind-602	KentUp	K42	132	152	183	183	219	228	181	181	228	308	232	232	119	119	416	433
Ind-603	KentUp	K42	132	152	183	183	228	274	176	181	228	358	223	232	116	119	300	433
Ind-604	KentUp	K42	132	148	183	183	215	228	176	181	228	346	223	223	116	116	295	420
Ind-605	KentUp	K43	132	132	183	183	237	269	176	181	242	242	232	232	116	116	300	416
Ind-606	KentUp	K43	132	148	183	186	228	228	176	181	242	358	223	223	116	119	300	433
Ind-607	KentUp	K43	128	132	183	183	224	228	176	181	228	242	223	232	116	119	437	486
Ind-608	KentUp	K44	132	132	183	183	269	269	181	197	242	358	223	223	119	122	312	433
Ind-609	KentUp	K44	132	132	183	186	215	219	176	181	228	354	223	223	116	116	295	420
Ind-610	KentUp	K44	132	132	183	183	215	219	181	181	228	308	223	223	119	119	291	291
Ind-611	KentUp	K45	128	132	183	183	215	219	181	181	242	312	223	223	116	119	295	295
Ind-612	KentUp	K45	128	148	183	183	215	228	176	181	228	246	223	232	116	116	295	420
Ind-613	KentUp	K45	132	148	183	183	215	228	176	181	228	346	223	232	119	119	420	420
Ind-614	KentUp	K46	128	132	183	183	219	224	181	181	248	312	223	232	116	116	300	433
Ind-615	KentUp	K46	132	132	186	186	219	219	181	181	242	242	223	232	116	119	433	486
Ind-616	KentUp	K46	128	132	183	186	215	219	176	181	242	248	223	232	116	119	420	449
Ind-617	KentUp	K47	128	152	183	183	219	269	176	185	246	312	232	232	116	119	321	433
Ind-618	KentUp	K47	128	132	183	186	219	224	176	181	246	246	223	232	116	119	286	321
Ind-619	KentUp	K47	128	132	183	186	215	228	176	181	240	312	223	223	116	119	420	433
Ind-620	KentUp	K48	132	148	183	186	215	215	181	181	242	312	232	236	116	119	295	433
Ind-621	KentUp	K48	128	148	183	186	215	228	181	181	242	242	223	232	116	119	433	441
Ind-622	KentUp	K48	132	152	183	183	215	219	181	181	228	242	223	223	116	116	295	433
Ind-623	KentUp	K49	132	148	183	183	215	269	181	181	242	248	223	232	116	116	295	300
Ind-624	KentUp	K49	148	148	183	183	219	269	181	181	242	248	223	232	116	116	295	416
Ind-625	KentUp	K49	132	148	183	183	219	269	181	181	242	248	223	232	116	116	416	420
Ind-626	KentUp	K49	148	148	183	183	219	219	181	185	238	244	223	223	119	119	433	433
Ind-627	KentUp	K50	132	148	183	183	215	219	181	214	246	358	223	223	116	116	312	416
Ind-628	KentUp	K50	148	152	183	183	215	224	181	181	242	312	223	232	116	119	416	433
Ind-629	KentUp	K50	132	132	183	186	219	224	181	214	242	246	223	232	116	116	295	486
Ind-630	KentUp	K50	128	148	183	186	215	219	181	185	346	358	223	223	116	119	416	441
Ind-631	KentUp	K51	132	132	183	186	219	219	176	181	228	242	223	223	116	119	300	300
Ind-632	KentUp	K51	128	148	183	183	219	228	181	181	246	354	223	232	116	119	433	433
Ind-633	KentUp	K51	152	152	183	186	215	219	181	214	242	308	223	232	116	119	416	420
Ind-634	KentUp	K51	132	148	183	183	215	215	181	181	228	358	223	232	116	116	295	300
Ind-635	KentUp	K52	128	148	183	186	215	228	181	181	242	358	223	223	113	119	433	441
Ind-636	KentUp	K52	132	132	183	183	215	219	181	181	228	228	232	232	116	122	433	433
