GVL Code,Alternate Sample Name,Indentifier,Sequenced Under,Genus,Species,Subspecies,Authority,Common Name,Source Location,Coordinates,Collection Date,Collector,Container Name,Notes,
WS_HC8,Honey Creek #8,,Catostomus warnerensis,Catostomus,warnerensis,,Snyder 1908,Warner Sucker,"Honey Creek, OR",42.418956 -119.911747,8/26/20,Justin Mills,Warner_Suckers_OregonDeptFW_2020,,
WCS_01,WCS,,Catostomus sp.,Catostomus,murivallis,,This Paper,Wall Canyon Sucker,"Wall Canyon, NV",Station: WC1,9/30/20,NV Dep of Wildlife,Wall_Canyon_Suckers_NVDeptFW_2020,,
WCS_02,WCS,,Catostomus sp.,Catostomus,murivallis,,This Paper,Wall Canyon Sucker,"Wall Canyon, NV",Between WC7-WC8,9/30/20,NV Dep of Wildlife,Wall_Canyon_Suckers_NVDeptFW_2020,,
WCS_03,WCS,,Catostomus sp.,Catostomus,murivallis,,This Paper,Wall Canyon Sucker,"Wall Canyon, NV",Between WC7-WC8,9/30/20,NV Dep of Wildlife,Wall_Canyon_Suckers_NVDeptFW_2020,,
WCS_04,WCS,,Catostomus sp.,Catostomus,murivallis,,This Paper,Wall Canyon Sucker,"Wall Canyon, NV",Between WC7-WC8,9/30/20,NV Dep of Wildlife,Wall_Canyon_Suckers_NVDeptFW_2020,,
WCS_05,WCS,,Catostomus sp.,Catostomus,murivallis,,This Paper,Wall Canyon Sucker,"Wall Canyon, NV",Between WC7-WC8,9/30/20,NV Dep of Wildlife,Wall_Canyon_Suckers_NVDeptFW_2020,,
WCS_06,WCS,,Catostomus sp.,Catostomus,murivallis,,This Paper,Wall Canyon Sucker,"Wall Canyon, NV",Station WC11,9/30/20,NV Dep of Wildlife,Wall_Canyon_Suckers_NVDeptFW_2020,,
WCS_07,WCS 1,,Catostomus sp.,Catostomus,murivallis,,This Paper,Wall Canyon Sucker,"Wall Canyon, NV",Station WC1,9/30/20,NV Dep of Wildlife,Wall_Canyon_Suckers_NVDeptFW_2020,,
WCS_08,WCS 2,,Catostomus sp.,Catostomus,murivallis,,This Paper,Wall Canyon Sucker," Wall Canyon, NV",Station WC1,9/30/20,NV Dep of Wildlife,Wall_Canyon_Suckers_NVDeptFW_2020,,
WCS_09,WCS 3,,Catostomus sp.,Catostomus,murivallis,,This Paper,Wall Canyon Sucker," Wall Canyon, NV",Station WC1,9/30/20,NV Dep of Wildlife,Wall_Canyon_Suckers_NVDeptFW_2020,,
WCS_10,WCS 5,,Catostomus sp.,Catostomus,murivallis,,This Paper,Wall Canyon Sucker,"Wall Canyon, NV",Station WC2,9/30/20,NV Dep of Wildlife,Wall_Canyon_Suckers_NVDeptFW_2020,,
WCS_11,WCS 6,,Catostomus sp.,Catostomus,murivallis,,This Paper,Wall Canyon Sucker,"Wall Canyon, NV",Station WC2,9/30/20,NV Dep of Wildlife,Wall_Canyon_Suckers_NVDeptFW_2020,,
WCS_12,WCS 7,,Catostomus sp.,Catostomus,murivallis,,This Paper,Wall Canyon Sucker,"Wall Canyon, NV",Station WC2,9/30/20,NV Dep of Wildlife,Wall_Canyon_Suckers_NVDeptFW_2020,,
WCS_13,WCS 8,,Catostomus sp.,Catostomus,murivallis,,This Paper,Wall Canyon Sucker,"Wall Canyon, NV",Station WC2,9/30/20,NV Dep of Wildlife,Wall_Canyon_Suckers_NVDeptFW_2020,,
WCS_14,WCS 9,,Catostomus sp.,Catostomus,murivallis,,This Paper,Wall Canyon Sucker,"Wall Canyon, NV",Station WC2,9/30/20,NV Dep of Wildlife,Wall_Canyon_Suckers_NVDeptFW_2020,,
WCS_15,WCS 12,,Catostomus sp.,Catostomus,murivallis,,This Paper,Wall Canyon Sucker,"Wall Canyon, NV",Station: WC 4,9/30/20,NV Dep of Wildlife,Wall_Canyon_Suckers_NVDeptFW_2020,,
WCS_16,WCS 13,,Catostomus sp.,Catostomus,murivallis,,This Paper,Wall Canyon Sucker,"Wall Canyon, NV",Station: WC 4,9/30/20,NV Dep of Wildlife,Wall_Canyon_Suckers_NVDeptFW_2020,,
WCS_17,WCS 14,,Catostomus sp.,Catostomus,murivallis,,This Paper,Wall Canyon Sucker,"Wall Canyon, NV",Station: WC 4,9/30/20,NV Dep of Wildlife,Wall_Canyon_Suckers_NVDeptFW_2020,,
WCS_18,WCS 15,,Catostomus sp.,Catostomus,murivallis,,This Paper,Wall Canyon Sucker,"Wall Canyon, NV",Station: WC 4,9/30/20,NV Dep of Wildlife,Wall_Canyon_Suckers_NVDeptFW_2020,,
WCS_19,WCS 16,,Catostomus sp.,Catostomus,murivallis,,This Paper,Wall Canyon Sucker,"Wall Canyon, NV",Station: WC 4,9/30/20,NV Dep of Wildlife,Wall_Canyon_Suckers_NVDeptFW_2020,,
WCS_20,WCS 17,,Catostomus sp.,Catostomus,murivallis,,This Paper,Wall Canyon Sucker,"Wall Canyon, NV",Station: WC 4,9/30/20,NV Dep of Wildlife,Wall_Canyon_Suckers_NVDeptFW_2020,,
WCS_21,WCS 18,,Catostomus sp.,Catostomus,murivallis,,This Paper,Wall Canyon Sucker,"Wall Canyon, NV",Station: WC 4,9/30/20,NV Dep of Wildlife,Wall_Canyon_Suckers_NVDeptFW_2020,,
WCS_22,WCS 19,,Catostomus sp.,Catostomus,murivallis,,This Paper,Wall Canyon Sucker,"Wall Canyon, NV",Station: WC 4,9/30/20,NV Dep of Wildlife,Wall_Canyon_Suckers_NVDeptFW_2020,,
WCS_23,WCS 20,,Catostomus sp.,Catostomus,murivallis,,This Paper,Wall Canyon Sucker,"Wall Canyon, NV",Station: WC 4,9/30/20,NV Dep of Wildlife,Wall_Canyon_Suckers_NVDeptFW_2020,,
