Chain #2
Seed for random number generator: 2 51 43 1 13

Acceptance rates for chain #2 (%)
ptild: 30.9383
theta: 31.9612
p: 29.5597
F: 35.9949
Mt: 11.6287
nm: 28.5171
m: 48.5857

Migration rates
Into/From	1	2	3	4
5	0.0586795	0.0275494
6	0.00122973	0.00266506
7	0.00160418	0.00309345
8	0.0125011	0.0137263
9	0.00836622	0.00908189
10	0.0494283	0.0232592
11	0.0632804	0.0303399
12	0.175723	0.0438751
13	0.0151111	0.0136279
14	0.0186509	0.0130808
15	0.00776161	0.00999089
16	0.0450026	0.0240213
17	0.004181	0.00678217
18	0.0150578	0.0119974
19	0.01295	0.0104364
20	0.0124028	0.0105621
21	0.00141191	0.0029627
22	0.00172291	0.00331015
23	0.00147117	0.00299835
24	0.00154595	0.00289962
25	0	0
26	0	0
27	0	0
28	0	0
At locus 8
1	0.16005	0.0448666
2	0.0879595	0.032581
3	0.131518	0.036721
4	0.100934	0.0357538
5	0.220709	0.0481805
6	0.034876	0.0240344
7	0.00159944	0.0030681
8	0.013301	0.0128197
9	0.104034	0.0451241
10	0.0569773	0.0330333
11	0.00224936	0.00422509
12	0.0109853	0.0113024
13	0.00367153	0.00540293
14	0.00664677	0.00896471
15	0.0115963	0.0136478
16	0.0185686	0.0153028
17	0.0325882	0.0175655
18	0.00173659	0.00330566
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
At locus 9
1	0.312377	0.0528568
2	0.0193005	0.0187372
3	0.218777	0.0480661
4	0.171882	0.0441891
5	0.27161	0.0595017
6	0.00300871	0.00511394
7	0.00150323	0.0030493
8	0.00154059	0.00303144
9	0	0
10	0	0
11	0	0
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0

In population 3
At locus 1
1	0.557177	0.0681634
2	0.0376358	0.0314628
3	0.0502585	0.0304011
4	0.00151382	0.00501989
5	0.108015	0.0406089
6	0.00132485	0.0044752
7	0.00776197	0.01321
8	0.00160278	0.00519226
9	0.105714	0.0396178
10	0.122055	0.0422588
11	0.00251879	0.00634501
12	0.00166308	0.00509433
13	0.00111606	0.00424101
14	0.00164391	0.00518761
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
At locus 2
1	0.651465	0.0659797
2	0.0322001	0.0264024
3	0.00189181	0.00560315
4	0.00639164	0.0107024
5	0.0780247	0.0381702
6	0.00160758	0.00518256
7	0.00212323	0.00628055
8	0.00295437	0.00681045
9	0.127179	0.045678
10	0.00180417	0.00550191
11	0.0850234	0.0353707
12	0.00212382	0.00572664
13	0.00116854	0.00430196
14	0.00144512	0.00538996
15	0.0022052	0.00641576
16	0.00239172	0.00606965
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
At locus 3
1	0.00423823	0.00927568
2	0.337685	0.06562
3	0.201371	0.0545571
4	0.00273171	0.00693748
5	0.00543472	0.010061
6	0.00150981	0.00496145
7	0.00158174	0.00497886
8	0.389159	0.0654679
9	0.0137008	0.0198711
10	0.00175908	0.00607034
11	0.00179894	0.00545562
12	0.00465806	0.00946705
13	0.00736076	0.0117776
14	0.00163517	0.00538791
15	0.0210379	0.023329
16	0.001452	0.00527463
17	0.00130747	0.0044601
18	0.00157913	0.0048968
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
At locus 4
1	0.00550583	0.010415
2	0.0215563	0.0208179
3	0.218306	0.0567516
4	0.147323	0.046781
5	0.00218906	0.00645561
6	0.00839557	0.0138473
7	0.013979	0.0198059
8	0.0109763	0.0160247
9	0.146936	0.0475525
10	0.00302531	0.0079119
11	0.00345069	0.00928938
12	0.00705978	0.0115074
13	0.0787146	0.0399824
14	0.00454382	0.00962181
15	0.0062633	0.0109071
16	0.00732408	0.0140712
17	0.00168945	0.00534214
18	0.00240491	0.00663794
19	0.075106	0.0387279
20	0.00323827	0.00782839
21	0.152911	0.0468963
22	0.00280958	0.00804197
23	0.00176734	0.00558087
24	0.00216934	0.00597944
25	0.00251539	0.00719679
26	0.00108799	0.00494529
27	0.00173236	0.00523047
28	0.0670197	0.0323032
At locus 5
1	0.00442066	0.00862487
2	0.0137735	0.0178087
3	0.00506453	0.00926833
4	0.0622696	0.034193
5	0.0111803	0.0147719
6	0.123562	0.0450274
7	0.00986732	0.0143634
8	0.387023	0.065924
9	0.011911	0.0151883
10	0.206364	0.0546362
11	0.0177857	0.01936
12	0.144277	0.0474145
13	0.00250148	0.00659237
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
At locus 6
1	0.170744	0.0504942
2	0.0448065	0.0279252
3	0.014429	0.0166574
4	0.00638673	0.0110829
5	0.00750595	0.0125204
6	0.136106	0.0447295
7	0.227401	0.0555887
8	0.10656	0.042289
9	0.156223	0.0497872
10	0.0104315	0.0170188
11	0.0034689	0.00797237
12	0.00328567	0.00758996
13	0.109673	0.0410877
14	0.00153004	0.00507604
15	0.00144769	0.00493056
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
At locus 7
1	0.0154075	0.0222892
2	0.00464964	0.00992279
3	0.14619	0.0508393
4	0.302677	0.0644244
5	0.247985	0.0594414
6	0.000613333	0.00331665
7	0.00100902	0.00404657
8	0.00307496	0.00737834
9	0.00239873	0.00636685
10	0.139845	0.0485998
11	0.0109049	0.0153241
12	0.0125743	0.0164329
13	0.00807388	0.0141433
14	0.00274644	0.00662819
15	0.00283188	0.00736492
16	0.086405	0.0389948
17	0.00192376	0.00572244
18	0.00159734	0.00528239
19	0.00127153	0.00468829
20	0.00199474	0.00579317
21	0.000970881	0.00419742
22	0.00175382	0.00543675
23	0.00145108	0.00487912
24	0.00164975	0.00524502
25	0	0
26	0	0
27	0	0
28	0	0
At locus 8
1	0.19178	0.0519081
2	0.125747	0.0441471
3	0.108173	0.0416821
4	0.0657727	0.0325867
5	0.267689	0.0596471
6	0.0117638	0.0150452
7	0.00168594	0.00528525
8	0.00374828	0.00840036
9	0.0193503	0.0313367
10	0.144723	0.0473
11	0.00133614	0.00495459
12	0.00334955	0.00741055
13	0.00239309	0.00609545
14	0.00271737	0.00668938
15	0.00249559	0.00631252
16	0.0433236	0.0288609
17	0.00237177	0.00632409
18	0.00158031	0.00505503
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
At locus 9
1	0.361256	0.0648191
2	0.0095985	0.0166711
3	0.0282836	0.0247937
4	0.146629	0.0521447
5	0.400896	0.0669422
6	0.00218132	0.00630499
7	0.0336621	0.0234824
8	0.0174937	0.0168836
9	0	0
10	0	0
11	0	0
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0

In population 4
At locus 1
1	0.569958	0.040361
2	0.18945	0.0326732
3	0.0710072	0.0196221
4	0.00163859	0.00273143
5	0.0588715	0.0219393
6	0.00150138	0.00264733
7	0.0452197	0.0174016
8	0.00210849	0.0034324
9	0.010147	0.00908366
10	0.0209147	0.0118025
11	0.0249012	0.0116563
12	0.00184726	0.00305774
13	0.00102727	0.00208962
14	0.00140713	0.00242834
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
At locus 2
1	0.322548	0.0413309
