Chain #7
Seed for random number generator: 7 51 43 1 13

Acceptance rates for chain #7 (%)
ptild: 28.8577
theta: 27.0689
p: 28.9949
F: 38.9201
Mt: 14.9907
nm: 37.7001
m: 43.7319

Migration rates
Into/From	1	2	3	4
3	0.11768	0.0462991
4	0.118194	0.0374798
5	0.22633	0.0703938
6	0.0458324	0.0446468
7	0.00133858	0.00267708
8	0.0145958	0.0146859
9	0.0804536	0.0391271
10	0.0721409	0.0439509
11	0.00192472	0.00374938
12	0.0125868	0.0119843
13	0.00511503	0.00724385
14	0.0191831	0.022324
15	0.0295128	0.0244237
16	0.0207266	0.0227086
17	0.0255272	0.0182349
18	0.00123694	0.0026372
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
At locus 9
1	0.27917	0.0566933
2	0.0330719	0.0241673
3	0.236892	0.0515953
4	0.1258	0.0472294
5	0.319706	0.0657102
6	0.00252996	0.00432839
7	0.0014081	0.00276352
8	0.00142185	0.00288777
9	0	0
10	0	0
11	0	0
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0

In population 3
At locus 1
1	0.55872	0.0568741
2	0.097538	0.0346022
3	0.0513208	0.0248708
4	0.00146373	0.0039966
5	0.0809828	0.0296213
6	0.00129923	0.00354299
7	0.0228814	0.0174691
8	0.0015367	0.00438827
9	0.0771111	0.0287743
10	0.101018	0.0329929
11	0.00234947	0.00517437
12	0.00134128	0.00389855
13	0.00126902	0.00387115
14	0.00116846	0.00340345
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
At locus 2
1	0.596319	0.0558918
2	0.100583	0.0380571
3	0.00206649	0.00472546
4	0.0234745	0.0177512
5	0.083958	0.0318164
6	0.00149587	0.00388854
7	0.00086847	0.00347597
8	0.00431156	0.00754594
9	0.115991	0.0358024
10	0.00234748	0.00556906
11	0.059695	0.0247977
12	0.00227282	0.00513972
13	0.00165645	0.00423943
14	0.000196507	0.00170605
15	0.00261879	0.00593974
16	0.00214523	0.00486643
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
At locus 3
1	0.00567662	0.00951413
2	0.333516	0.055466
3	0.174364	0.0429367
4	0.00338674	0.00667779
5	0.00592493	0.00926644
6	0.00202962	0.00480503
7	0.00136809	0.0037763
8	0.35622	0.0565671
9	0.0306022	0.0190606
10	0.00264057	0.00599382
11	0.00157515	0.00416756
12	0.0239904	0.0186001
13	0.0257812	0.0190399
14	0.00201158	0.00487993
15	0.0252805	0.0165467
16	0.0027068	0.00578882
17	0.00134973	0.00403596
18	0.00157643	0.00466228
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
At locus 4
1	0.00782167	0.0111815
2	0.0239225	0.0186533
3	0.211929	0.0488156
4	0.10932	0.0348981
5	0.00251484	0.00561837
6	0.0129997	0.015733
7	0.0513351	0.0283163
8	0.0127427	0.0149226
9	0.110885	0.0341481
10	0.00438955	0.00871668
11	0.00538997	0.0101188
12	0.0382671	0.0242824
13	0.0845533	0.0308049
14	0.00802154	0.0123411
15	0.00849315	0.0119499
16	0.0395595	0.0211861
17	0.00202644	0.00520976
18	0.00181608	0.00493491
19	0.0847209	0.0321467
20	0.00414211	0.00763282
21	0.117244	0.0362289
22	0.00395184	0.00805582
23	0.00170837	0.00425161
24	0.000263752	0.00201853
25	0.0027253	0.00592596
26	0.00351368	0.00697715
27	0.00247307	0.00611702
28	0.0432697	0.0214207
At locus 5
1	0.00477777	0.00790562
2	0.0199839	0.0157535
3	0.00598277	0.00902949
4	0.0721003	0.0332061
5	0.0655684	0.0301443
6	0.145428	0.0401304
7	0.0131928	0.015324
8	0.305961	0.0523426
9	0.0313577	0.0210996
10	0.195515	0.0447597
11	0.0217286	0.0163909
12	0.115578	0.0364695
13	0.00282624	0.00598529
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
At locus 6
1	0.149436	0.0413448
2	0.0425654	0.0247444
3	0.0332503	0.0218541
4	0.00790327	0.0108759
5	0.0234355	0.0178092
6	0.115997	0.0358703
7	0.209311	0.0463008
8	0.110948	0.0372754
9	0.149739	0.0411605
10	0.0509736	0.0251767
11	0.00418409	0.00720369
12	0.00313234	0.00632986
13	0.0939273	0.0336579
14	0.00155417	0.00400698
15	0.00364336	0.00725762
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
At locus 7
1	0.0460888	0.0243845
2	0.00811376	0.0127187
3	0.180781	0.0465074
4	0.278858	0.0519636
5	0.210411	0.0479836
6	0.00125767	0.00380897
7	0.00150635	0.00414471
8	0.00329559	0.00661251
9	0.00189715	0.00472981
10	0.104644	0.0355449
11	0.0134153	0.0148652
12	0.0430448	0.0271262
13	0.0168483	0.0142338
14	0.00243236	0.00556313
15	0.00365867	0.00670847
16	0.0703975	0.0287713
17	0.00243398	0.00594596
18	0.00206155	0.00493848
19	0.00146227	0.00414147
20	0.00204714	0.00499229
21	0.00145643	0.00397328
22	0.00127227	0.00391264
23	0.0010928	0.00351206
24	0.00152301	0.00424014
25	0	0
26	0	0
27	0	0
28	0	0
At locus 8
1	0.146271	0.0389448
2	0.111055	0.0361133
3	0.127467	0.0378116
4	0.0746496	0.0305143
5	0.24158	0.0491621
6	0.0162872	0.0169311
7	0.00138144	0.00389002
8	0.00445918	0.00821871
9	0.0999515	0.0340017
10	0.108008	0.0337049
11	0.00182398	0.00467835
12	0.00351283	0.00652637
13	0.00342423	0.00697417
14	0.00448255	0.0083843
15	0.00355773	0.0065449
16	0.0487243	0.0248912
17	0.00202918	0.00488553
18	0.00133435	0.00367731
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
At locus 9
1	0.32659	0.0545432
2	0.0619842	0.0271477
3	0.0737912	0.031135
4	0.151232	0.042964
5	0.349283	0.0547349
6	0.00287378	0.00591452
7	0.0224152	0.0153082
8	0.0118307	0.011135
9	0	0
10	0	0
11	0	0
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0

In population 4
At locus 1
1	0.5544	0.0662384
2	0.158976	0.0474633
3	0.0763999	0.0338958
4	0.0110495	0.0125606
5	0.0471614	0.0284042
6	0.00675341	0.00842468
7	0.0438061	0.0237837
8	0.00946782	0.0106863
9	0.0246814	0.0191666
10	0.0236175	0.0162188
11	0.0236936	0.0165452
12	0.00634761	0.00767805
13	0.00669485	0.0083324
14	0.00695046	0.00864037
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
At locus 2
1	0.329873	0.0757007
2	0.34668	0.109623
3	0.0177152	0.0184361
4	0.064295	0.0268594
5	0.0882718	0.0368408
6	0.00660804	0.00807812
7	0.00508637	0.00670801
8	0.0227566	0.0167677
9	0.0509067	0.0264033
10	0.00929992	0.00973395
11	0.0115317	0.0111107
12	0.0124246	0.010467
13	0.00770546	0.00809877
14	0.00436463	0.00585987
15	0.00765873	0.00850178
16	0.0148225	0.0142708
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
At locus 3
1	0.0320599	0.0214242
2	0.340091	0.0861784
3	0.0775195	0.0388425
4	0.0224913	0.0189503
5	0.0363217	0.0253021
6	0.0189721	0.0196539
7	0.0072156	0.00869127
8	0.242282	0.0529817
9	0.0308957	0.0214072
10	0.0103833	0.0125304
11	0.00598479	0.00754643
12	0.0367232	0.0256676
13	0.0845349	0.0428159
14	0.00989037	0.0111433
15	0.0148669	0.013878
16	0.0164621	0.0123645
17	0.00727279	0.00872328
18	0.00603318	0.00689212
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
At locus 4
1	0.0701065	0.030766
2	0.0586982	0.0251508
3	0.100494	0.0357157
4	0.0388227	0.0239483
5	0.0123817	0.0100097
6	0.0742711	0.0280328
7	0.0738217	0.0333107
8	0.0373854	0.0203351
9	0.0500467	0.0251958
10	0.0186616	0.0174176
11	0.0138357	0.0142923
12	0.0824229	0.0418178
13	0.0541148	0.0305838
14	0.0394834	0.0212764
15	0.0503663	0.0273407
16	0.0247802	0.0198931
17	0.0124126	0.0128381
18	0.00749426	0.00846905
19	0.0490988	0.0295267
20	0.0295966	0.023443
21	0.02419	0.0179372
22	0.0150627	0.0131593
23	0.010589	0.0115788
24	0.0109763	0.0108892
25	0.0134951	0.013291
26	0.0147533	0.0119546
27	0.00860889	0.00848698
28	0.00402977	0.00596223
At locus 5
1	0.0443706	0.0240149
2	0.0383341	0.0233748
3	0.0379986	0.0302907
4	0.113025	0.0403447
5	0.159017	0.0708744
6	0.153309	0.0430878
7	0.0665466	0.0324818
8	0.0507359	0.0261485
9	0.109963	0.0380739
10	0.106147	0.0451051
11	0.0717503	0.0323258
12	0.034961	0.0312858
13	0.0138425	0.0121931
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
At locus 6
1	0.112566	0.0398499
2	0.0551546	0.0419768
3	0.136659	0.048433
4	0.0591822	0.0254403
5	0.0669731	0.0332811
6	0.0786135	0.0283791
7	0.114037	0.0416258
8	0.138838	0.0471801
9	0.0642472	0.0290613
10	0.0755498	0.0303894
11	0.0212256	0.0179754
12	0.0137678	0.013522
13	0.0499124	0.0271592
14	0.00724744	0.00853366
15	0.00602611	0.00722067
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
At locus 7
1	0.040485	0.0213056
2	0.0338205	0.0206854
3	0.208673	0.0693946
4	0.120395	0.0399614
5	0.0980707	0.0571791
6	0.00655015	0.00803198
7	0.0102699	0.0117826
8	0.0233923	0.0164073
9	0.0115627	0.0106202
10	0.0380612	0.0224477
11	0.0880951	0.0387151
12	0.132936	0.0559338
13	0.0317566	0.0185847
14	0.0112171	0.0120421
15	0.0488435	0.032488
16	0.0268815	0.0204724
17	0.0166546	0.0126777
18	0.0116202	0.0107885
19	0.00723143	0.00857069
20	0.00730967	0.00863663
21	0.00680305	0.00813914
22	0.00652147	0.00813423
23	0.00647437	0.00845747
24	0.00637428	0.00728922
25	0	0
26	0	0
27	0	0
28	0	0
At locus 8
1	0.116957	0.0408092
2	0.0535784	0.0329705
3	0.0601847	0.0303962
4	0.121675	0.0427507
5	0.125547	0.0444743
6	0.135145	0.0487439
7	0.00720777	0.00875134
8	0.0263359	0.0164371
9	0.0908538	0.0386857
10	0.0743944	0.041425
11	0.00995725	0.0106761
12	0.0256697	0.021209
13	0.0164054	0.0129595
14	0.0389652	0.0234334
15	0.0321832	0.0227904
16	0.0455121	0.0224306
17	0.0127901	0.0132135
18	0.00663736	0.00824014
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
At locus 9
1	0.259325	0.0653516
2	0.0558758	0.0251147
3	0.220267	0.0531211
4	0.120703	0.0511085
5	0.324743	0.0639725
6	0.0104639	0.0116696
7	0.00435275	0.0060795
8	0.00427019	0.00606331
9	0	0
10	0	0
11	0	0
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0


