iter	Likelihood	Pr(X|S;M,F,p)	Pr(M|m)	f(m|psi)	f(p|theta,ptild)	f(theta)
1010800	-6146.9	-8325.47	-55.1677	7.16704	2254.87	-28.3125
1010900	-6125.39	-8292.01	-53.7009	7.16704	2240.32	-27.1674
1011000	-6123.96	-8307.7	-59.0268	7.16704	2260.87	-25.2802
1011100	-6148.82	-8322.2	-46.8114	7.16704	2238.01	-24.9843
1011200	-6109.51	-8296.74	-46.4686	7.16704	2254.89	-28.3621
1011300	-6124.28	-8315.49	-52.9051	7.16704	2265.91	-28.9606
1011400	-6117.33	-8278.55	-45.6221	7.16704	2227.27	-27.6029
1011500	-6137.36	-8308.57	-50.0388	7.16704	2239.68	-25.6086
1011600	-6108.25	-8262.4	-53.4111	7.16704	2225.92	-25.521
1011700	-6143.5	-8288.01	-42.1328	7.16704	2205.12	-25.654
1011800	-6159.82	-8284.42	-44.9538	7.16704	2187.54	-25.1601
1011900	-6125.49	-8253.92	-47.1191	7.16704	2193.81	-25.4287
1012000	-6134.08	-8297.4	-48.3034	7.16704	2232.34	-27.8803
1012100	-6147.6	-8276.82	-56.3518	7.16704	2204.75	-26.3532
1012200	-6125.64	-8247.14	-53.6994	7.16704	2195.04	-27.0042
1012300	-6085.8	-8240.89	-49.8371	7.16704	2223.83	-26.0698
1012400	-6137.21	-8286.89	-52.7739	7.16704	2220.62	-25.3402
1012500	-6091.6	-8276.55	-55.5331	7.16704	2261.54	-28.2268
1012600	-6078.58	-8252.88	-49.519	7.16704	2240.74	-24.0927
1012700	-6100.47	-8278.25	-42.1452	7.16704	2237.73	-24.9685
1012800	-6114.31	-8279.42	-48.0777	7.16704	2232.26	-26.241
1012900	-6098.03	-8259.25	-53.4209	7.16704	2232.07	-24.5989
1013000	-6146.52	-8294.93	-59.3257	7.16704	2226.11	-25.5333
1013100	-6069.96	-8255.39	-48.5947	7.16704	2251.56	-24.7086
1013200	-6113.01	-8293.2	-48.5413	7.16704	2245.23	-23.6616
1013300	-6091.7	-8282.51	-46.9326	7.16704	2254.67	-24.0911
1013400	-6142.73	-8310.49	-40.6903	7.16704	2225.76	-24.4769
1013500	-6173.37	-8311.56	-57.7718	7.16704	2213.69	-24.8947
1013600	-6167.49	-8305.31	-50.8329	7.16704	2207.14	-25.6587
1013700	-6141.59	-8285.56	-53.4426	7.16704	2216.97	-26.7218
1013800	-6197.3	-8330.1	-49.167	7.16704	2199.83	-25.03
1013900	-6193.74	-8314.33	-45.9926	7.16704	2183.91	-24.5003
1014000	-6215.43	-8327.05	-45.4655	7.16704	2174.78	-24.8561
1014100	-6124.4	-8267.75	-44.8011	7.16704	2208.18	-27.1838
1014200	-6187.8	-8321.83	-48.7667	7.16704	2201.79	-26.1524
1014300	-6185.18	-8314.46	-45.2075	7.16704	2195.52	-28.1992
1014400	-6170.52	-8324.58	-51.1692	7.16704	2226.87	-28.8087
1014500	-6192.22	-8299.64	-47.34	7.16704	2174.66	-27.0663
1014600	-6207.97	-8309.38	-53.1239	7.16704	2173.73	-26.3661
1014700	-6199.93	-8285.45	-51.9274	7.16704	2156.03	-25.746
1014800	-6247.96	-8304.89	-55.0183	7.16704	2129.3	-24.5246
1014900	-6169.34	-8252.03	-57.6593	7.16704	2156.44	-23.2513
1015000	-6172.9	-8264.71	-60.9811	7.16704	2168.9	-23.2803
1015100	-6108.87	-8226.12	-57.0571	7.16704	2190.13	-22.991
1015200	-6166.03	-8313.2	-50.6896	7.16704	2214.51	-23.8215
1015300	-6100.87	-8243.23	-49.2969	7.16704	2207.83	-23.3317
1015400	-6072.51	-8238.15	-53.6239	7.16704	2234.76	-22.6677
1015500	-6091.1	-8267.37	-54.7942	7.16704	2247.37	-23.4716
1015600	-6105.69	-8264.92	-62.2046	7.16704	2237.96	-23.6888
