"Data_source","Contributor_GenDivRange","Spec_id.x","Study_id","Spec_Latin_GenDivRange","Life_form","DOI_study","DOI_data","Spec_Latin_publication","Marker_type","N_pops","N_loci","GBIF_id","Spec_Latin_GBIF","Genus_GBIF","Family_GBIF","Order_GBIF","Class_GBIF","Phylum_GBIF","EOL_id","Spec_common_EOL","BIOME","Habitat_fishbase","Habitat_breeding","Habitat_adulthood","GBIF_doi","Spec_id.y","Pop_id","Spec_Latin_sub","Geog_1","Geog_2","Geog_3","Geog_4","Geog_5","Geog_6","Latitude","Longitude","N","A","A_mean","A_tot","A_eff","A_private","N_genot","Ar","Ho","He","GD_Nei","D_clonal","F_is","F_is_sig","Ploidy","min_dist_to_flowline","snapped_lon","snapped_lat"
"VarVer","NA","ACFU","ACFU-4","Acipenser fulvescens","Fishes","10.1577/m06-184.1",NA,"Acipenser fulvescens","SSR",22,13,2402120,"Acipenser fulvescens Rafinesque; 1817","Acipenser","Acipenseridae","Acipenseriformes",NA,"Chordata","https://eol.org/pages/46561177","Lake Sturgeon","Lake","freshwater; brackish;  demersal; potamodromous   temperate; ;","Freshwater","Freshwater","doi.org/10.15468/dl.a9fdqp","ACFU","ACFU-4-3",NA,"United States of America","Bad River",NA,NA,NA,NA,46.63624,-90.6555,136,4.462,NA,NA,NA,NA,NA,NA,NA,0.5619,NA,NA,NA,NA,"diploid",14.9839210529634,-90.6556171232461,46.6361318566058
"VarVer","NA","ACFU","ACFU-4","Acipenser fulvescens","Fishes","10.1577/m06-184.1",NA,"Acipenser fulvescens","SSR",22,13,2402120,"Acipenser fulvescens Rafinesque; 1817","Acipenser","Acipenseridae","Acipenseriformes",NA,"Chordata","https://eol.org/pages/46561177","Lake Sturgeon","Lake","freshwater; brackish;  demersal; potamodromous   temperate; ;","Freshwater","Freshwater","doi.org/10.15468/dl.a9fdqp","ACFU","ACFU-4-4",NA,"United States of America","White River",NA,NA,NA,NA,46.65359,-90.7229,43,4.231,NA,NA,NA,NA,NA,NA,NA,0.5502,NA,NA,NA,NA,"diploid",31.5241376209082,-90.7228967558455,46.6533054456052
"VarVer","NA","ACFU","ACFU-4","Acipenser fulvescens","Fishes","10.1577/m06-184.1",NA,"Acipenser fulvescens","SSR",22,13,2402120,"Acipenser fulvescens Rafinesque; 1817","Acipenser","Acipenseridae","Acipenseriformes",NA,"Chordata","https://eol.org/pages/46561177","Lake Sturgeon","Lake","freshwater; brackish;  demersal; potamodromous   temperate; ;","Freshwater","Freshwater","doi.org/10.15468/dl.a9fdqp","ACFU","ACFU-4-9",NA,"United States of America","Menominee River",NA,NA,NA,NA,45.36493,-87.6554,21,4.308,NA,NA,NA,NA,NA,NA,NA,0.4943,NA,NA,NA,NA,"diploid",76.5704520754034,-87.6549174543694,45.3643310171495
"VarVer","NA","ACFU","ACFU-5","Acipenser fulvescens","Fishes","10.1007/s10592-007-9441-9",NA,"Acipenser fulvescens","SSR",8,10,2402120,"Acipenser fulvescens Rafinesque; 1817","Acipenser","Acipenseridae","Acipenseriformes",NA,"Chordata","https://eol.org/pages/46561177","Lake Sturgeon","Lake","freshwater; brackish;  demersal; potamodromous   temperate; ;","Freshwater","Freshwater","doi.org/10.15468/dl.a9fdqp","ACFU","ACFU-5-1",NA,"United States of America","White River",NA,NA,NA,NA,38.79858,-86.6468,79,3.3,NA,NA,NA,NA,NA,NA,0.439,0.419,NA,NA,-0.04773,NA,"diploid",24.1831977189019,-86.6470430251738,38.7986883951673
"VarVer","NA","ACFU","ACFU-5","Acipenser fulvescens","Fishes","10.1007/s10592-007-9441-9",NA,"Acipenser fulvescens","SSR",8,10,2402120,"Acipenser fulvescens Rafinesque; 1817","Acipenser","Acipenseridae","Acipenseriformes",NA,"Chordata","https://eol.org/pages/46561177","Lake Sturgeon","Lake","freshwater; brackish;  demersal; potamodromous   temperate; ;","Freshwater","Freshwater","doi.org/10.15468/dl.a9fdqp","ACFU","ACFU-5-4",NA,"United States of America","Mississippi River",NA,NA,NA,NA,38.66568,-91.8672,101,4.7,NA,NA,NA,NA,NA,NA,0.507,0.486,NA,NA,-0.04321,NA,"diploid",73.7150555162818,-91.8667988440561,38.6650991806844
"VarVer","NA","ACFU","ACFU-5","Acipenser fulvescens","Fishes","10.1007/s10592-007-9441-9",NA,"Acipenser fulvescens","SSR",8,10,2402120,"Acipenser fulvescens Rafinesque; 1817","Acipenser","Acipenseridae","Acipenseriformes",NA,"Chordata","https://eol.org/pages/46561177","Lake Sturgeon","Lake","freshwater; brackish;  demersal; potamodromous   temperate; ;","Freshwater","Freshwater","doi.org/10.15468/dl.a9fdqp","ACFU","ACFU-5-5",NA,"United States of America","Missouri River",NA,NA,NA,NA,39.3773,-90.9064,48,4.1,NA,NA,NA,NA,NA,NA,0.521,0.498,NA,NA,-0.04618,NA,"diploid",66.5299507485791,-90.9058039652444,39.3776825262625
"VarVer","NA","ACFU","ACFU-5","Acipenser fulvescens","Fishes","10.1007/s10592-007-9441-9",NA,"Acipenser fulvescens","SSR",8,10,2402120,"Acipenser fulvescens Rafinesque; 1817","Acipenser","Acipenseridae","Acipenseriformes",NA,"Chordata","https://eol.org/pages/46561177","Lake Sturgeon","Lake","freshwater; brackish;  demersal; potamodromous   temperate; ;","Freshwater","Freshwater","doi.org/10.15468/dl.a9fdqp","ACFU","ACFU-5-6",NA,"United States of America","Peshtigo River",NA,NA,NA,NA,46.89636,-88.5257,43,4.1,NA,NA,NA,NA,NA,NA,0.449,0.473,NA,NA,0.05074,NA,"diploid",3.12092091655874,-88.5256619955531,46.8963497743536
"VarVer","NA","ACFU","ACFU-5","Acipenser fulvescens","Fishes","10.1007/s10592-007-9441-9",NA,"Acipenser fulvescens","SSR",8,10,2402120,"Acipenser fulvescens Rafinesque; 1817","Acipenser","Acipenseridae","Acipenseriformes",NA,"Chordata","https://eol.org/pages/46561177","Lake Sturgeon","Lake","freshwater; brackish;  demersal; potamodromous   temperate; ;","Freshwater","Freshwater","doi.org/10.15468/dl.a9fdqp","ACFU","ACFU-5-7",NA,"United States of America","Sturgeon River",NA,NA,NA,NA,46.89636,-88.5257,30,3.9,NA,NA,NA,NA,NA,NA,0.512,0.537,NA,NA,0.046555,NA,"diploid",3.12092091655874,-88.5256619955531,46.8963497743536
"VarVer","NA","ACFU","ACFU-5","Acipenser fulvescens","Fishes","10.1007/s10592-007-9441-9",NA,"Acipenser fulvescens","SSR",8,10,2402120,"Acipenser fulvescens Rafinesque; 1817","Acipenser","Acipenseridae","Acipenseriformes",NA,"Chordata","https://eol.org/pages/46561177","Lake Sturgeon","Lake","freshwater; brackish;  demersal; potamodromous   temperate; ;","Freshwater","Freshwater","doi.org/10.15468/dl.a9fdqp","ACFU","ACFU-5-8",NA,"United States of America","E. Fork Chippewa River",NA,NA,NA,NA,46.0468,-90.7064,18,3.5,NA,NA,NA,NA,NA,NA,0.561,0.526,NA,NA,-0.06654,NA,"diploid",12.2643644009401,-90.7065414915916,46.0468494453343
"MacroPopGen","NA","AMPE","AMPE-1","Ammocrypta pellucida","Fishes","10.1002/ece3.1392",NA,"Ammocrypta pellucida","SSR",16,10,2381982,"Ammocrypta pellucida (Putnam; 1863)","Ammocrypta","Percidae","Perciformes",NA,"Chordata","https://eol.org/pages/205067","Eastern Sand Darter","Temperate Broadleaf & Mixed Forests","freshwater;  demersal temperate; ;","Freshwater","Freshwater","doi.org/10.15468/dl.3v7efs","AMPE","AMPE-1-1",NA,"United States of America","Big Creek",NA,NA,NA,NA,38.13416667,-84.86444444,39,NA,NA,NA,NA,NA,NA,NA,0.728,0.741,NA,NA,NA,NA,"diploid",117.531190422376,-84.865794095188,38.1342475394277
