Sample,Reach,Sfo_C113_1,Sfo_C113_2,Sfo_C115_1,Sfo_C115_2,Sfo_C129_1,Sfo_C129_2,Sfo_C38_1,Sfo_C38_2,Sfo_C88_1,Sfo_C88_2,Sfo_D91_1,Sfo_D91_2,Sfo_B52_1,Sfo_B52_2,Sfo_C24_1,Sfo_C24_2,Sfo_C28_1,Sfo_C28_2,Sfo_C79_1,Sfo_C79_2,Sfo_C86_1,Sfo_C86_2,Sfo_D75_1,Sfo_D75_2
BS-04-033,4,124,133,305,309,230,230,140,143,181,190,220,232,217,223,113,113,179,179,120,120,101,101,180,208
BS-04-035,4,145,148,305,337,233,233,143,143,184,184,216,232,221,223,116,116,179,179,120,120,101,101,172,212
BS-04-036,4,130,133,321,337,233,233,143,146,184,184,232,264,215,219,110,116,179,187,120,120,101,101,176,200
BS-04-037,4,142,151,305,309,233,233,143,143,181,190,220,236,215,221,113,116,179,179,120,120,101,113,176,228
BS-05-001,5,151,154,235,305,224,233,143,143,184,190,220,232,221,223,113,116,171,179,120,120,101,113,176,176
BS-05-004,5,133,142,321,337,233,233,143,143,184,193,228,236,221,223,113,119,187,191,120,120,101,101,176,212
BS-05-005,5,130,136,305,305,230,230,143,143,190,193,228,232,219,221,116,119,179,183,120,120,101,110,176,212
BS-05-007,5,130,133,305,305,230,230,143,143,184,193,232,236,215,225,113,116,183,183,120,120,101,101,176,176
BS-05-008,5,151,151,239,305,230,233,143,143,184,184,232,232,215,221,116,119,179,179,120,120,101,113,176,228
BS-05-010,5,133,133,243,305,230,230,143,143,181,190,220,232,221,221,113,116,167,167,120,120,101,101,176,212
BS-05-016,5,133,151,309,337,224,224,143,143,187,190,232,232,217,221,113,119,179,183,120,120,101,101,204,208
BS-05-017,5,133,133,309,321,224,233,143,143,181,184,236,236,219,221,116,116,179,179,120,120,113,119,176,176
BS-05-019,5,133,151,229,309,230,236,143,143,184,184,220,240,223,223,113,113,203,203,120,120,113,119,212,248
BS-05-021,5,133,151,305,305,230,233,143,146,190,190,220,228,217,227,113,116,167,167,120,120,101,116,172,176
BS-05-023,5,133,151,305,333,230,230,143,143,184,190,220,228,215,221,113,113,179,203,120,120,101,119,176,208
BS-05-024,5,130,154,239,305,230,233,143,149,184,190,216,236,221,221,116,116,183,187,120,120,101,101,176,200
BS-05-026,5,124,124,305,313,230,233,143,146,184,193,232,236,221,223,113,116,179,187,120,120,101,119,216,216
BS-05-027,5,133,136,237,305,224,233,140,143,184,190,216,260,215,227,116,116,167,183,120,120,101,119,212,212
BS-05-030,5,133,133,305,313,230,233,143,143,184,193,232,236,203,223,116,119,175,191,120,123,101,113,180,216
BS-05-033,5,124,130,237,309,233,233,143,143,181,190,232,232,215,223,113,119,167,187,120,120,101,113,176,180
BS-05-034,5,142,142,235,309,233,233,143,143,184,190,232,232,221,223,113,119,175,183,120,120,101,101,176,176
BS-05-035,5,136,151,309,321,233,233,143,143,184,190,232,232,221,221,113,116,175,187,120,120,101,101,176,208
BS-05-036,5,133,145,305,309,230,233,143,143,184,184,232,232,221,223,116,116,167,187,120,120,113,119,176,200
BS-05-038,5,133,133,305,305,230,233,140,143,184,193,228,232,215,221,113,116,187,203,120,120,101,119,196,208
BS-05-041,5,133,151,305,321,230,230,143,143,184,184,232,236,215,221,116,116,177,191,120,120,101,101,176,180
BS-05-047,5,133,133,237,321,233,233,143,143,184,193,236,236,221,223,116,116,187,187,120,120,113,119,176,176
BS-05-049,5,145,151,229,229,221,230,149,149,184,199,236,236,215,221,116,116,175,199,120,120,101,113,176,200
BS-05-050,5,133,133,321,321,221,224,140,140,184,193,228,232,217,221,113,119,187,191,120,120,113,113,176,188
BS-05-051,5,133,145,229,309,230,233,140,143,187,193,236,288,221,223,116,119,183,187,120,120,101,113,176,200
BS-06-001,6,130,133,235,305,230,230,143,143,184,184,228,264,215,221,113,116,167,187,120,120,110,113,176,176
BS-06-002,6,133,145,309,309,224,233,143,149,181,193,236,236,219,227,113,116,179,179,120,120,101,101,176,176
BS-06-003,6,133,133,305,305,230,236,140,149,181,190,212,244,215,225,116,116,179,187,120,123,101,116,176,176
BS-06-004,6,151,151,305,309,230,230,143,143,181,190,212,232,221,221,113,116,171,179,120,120,101,101,188,212
BS-06-005,6,133,151,229,305,230,230,143,143,181,187,228,232,221,223,116,116,179,203,120,120,101,119,176,184
BS-06-006,6,124,154,305,309,230,230,143,143,184,190,232,236,215,221,116,116,183,183,120,120,101,101,176,180
BS-06-008,6,133,136,237,309,230,233,143,143,181,184,232,244,221,221,116,119,179,179,120,120,101,119,176,244
BS-06-009,6,124,133,235,309,224,230,143,146,181,193,228,236,221,227,113,116,179,183,120,120,101,101,180,212
BS-06-010,6,133,151,235,309,224,230,143,143,184,196,228,236,221,223,116,119,167,183,120,120,101,101,200,208
BS-06-011,6,124,151,229,309,230,230,143,143,190,190,212,228,215,221,116,119,175,179,120,120,101,101,176,180
BS-06-012,6,133,133,235,305,230,230,143,143,181,184,228,232,203,221,113,119,175,179,120,120,101,101,172,176
BS-06-013,6,130,142,243,309,224,233,143,146,181,190,220,232,215,221,116,116,179,183,120,120,101,119,176,176
BS-06-014,6,133,145,235,309,230,233,143,143,184,199,216,232,221,227,113,116,167,179,120,123,101,113,196,212
BS-06-015,6,133,154,235,321,233,233,140,143,181,184,228,232,203,221,113,116,187,187,120,123,101,113,176,200
BS-06-016,6,124,133,309,321,224,230,143,146,181,190,232,236,215,217,116,116,175,187,120,120,101,101,176,180
BS-06-017,6,133,145,305,305,230,233,143,143,184,184,232,232,215,221,116,116,179,179,120,120,101,113,176,176
BS-06-018,6,130,133,237,237,233,233,143,143,184,190,220,232,217,221,113,119,187,191,120,120,101,113,180,180
BS-06-019,6,142,142,235,301,224,224,143,149,184,190,228,232,219,223,113,116,179,183,120,120,101,101,176,244
BS-06-020,6,133,151,239,305,230,233,140,143,190,193,232,236,217,225,113,116,179,183,120,120,101,101,180,200
BS-06-021,6,124,133,305,321,230,233,140,143,184,187,232,236,221,221,113,116,179,187,120,120,101,101,180,216
BS-06-023,6,130,139,305,309,233,233,143,143,184,190,220,232,221,221,116,119,167,179,120,120,101,119,NA,NA
BS-06-024,6,133,151,239,305,224,233,143,146,184,184,220,232,221,223,113,113,179,187,120,120,113,113,176,212
BS-06-025,6,133,142,305,305,224,233,140,143,193,193,232,232,215,225,113,116,179,179,120,120,101,113,176,176
BS-06-026,6,136,145,239,309,224,230,140,140,181,184,232,236,215,221,113,116,167,179,120,120,101,101,176,244
BS-06-027,6,145,151,305,305,233,233,143,143,184,184,228,288,221,231,119,119,179,179,120,120,101,113,184,212
BS-07-001,7,142,154,305,305,230,233,143,149,184,190,220,232,215,221,113,116,175,191,120,120,101,119,176,188
BS-07-002,7,124,133,229,309,230,233,143,149,184,190,220,232,217,225,113,116,167,177,120,120,101,101,176,200
BS-07-003,7,133,151,305,313,224,230,143,143,184,184,232,232,221,223,113,113,167,187,120,120,101,101,200,212
BS-07-004,7,133,136,239,241,230,230,143,143,184,184,220,232,223,223,113,116,167,203,120,120,113,116,176,212
BS-07-005,7,124,130,309,313,230,233,143,146,190,190,232,232,221,225,116,119,179,183,120,120,101,101,176,200
