Chain #7
Seed for random number generator: 7 51 52 8 11

Acceptance rates for chain #7 (%)
ptild: 28.2878
theta: 25.7565
p: 32.7043
F: 41.2075
Mt: 12.888
nm: 30.5517
m: 51.1409

Migration rates
Into/From	1	2	3	4	5
6	0.0186169	0.0151743
7	0.00982469	0.0113351
8	0.039615	0.0188658
9	0.143751	0.0351316
10	0.0266421	0.014552
11	0.0232613	0.0170964
12	0.104432	0.029891
13	0.0344905	0.0167265
14	0.053438	0.0230024
15	0.00567677	0.00752276
16	0.051366	0.0213242
17	0.0131266	0.0123471
18	0.0103082	0.011373
19	0.00139944	0.00312908
20	0.0169425	0.0139206
21	0.00398987	0.00552695
22	0.0138668	0.0126344
23	0.0072123	0.00908021
24	0.00689733	0.0077436
25	0.0153502	0.0116059
26	0.00242539	0.00497739
27	0.00410321	0.00624833
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 2
1	0.197261	0.0388445
2	0.0402698	0.0208256
3	0.0991777	0.0342612
4	0.0864146	0.0277419
5	0.0207425	0.0139804
6	0.186405	0.0370039
7	0.0185725	0.0133607
8	0.0966224	0.0286703
9	0.00304082	0.00482621
10	0.00326468	0.00574271
11	0.0364635	0.0185107
12	0.00272763	0.0048578
13	0.00326086	0.00542299
14	0.00750891	0.00936841
15	0.0241177	0.0171966
16	0.0186515	0.0114943
17	0.0507587	0.0207637
18	0.0169483	0.0116667
19	0.00413886	0.00612454
20	0.00254935	0.0045955
21	0.00674803	0.00842164
22	0.00243367	0.00437528
23	0.00247893	0.0043386
24	0.00128312	0.00282003
25	0.00197051	0.00375401
26	0.0146615	0.0132515
27	0.00189175	0.00354738
28	0.00191355	0.0037833
29	0.0214672	0.0114858
30	0.0262547	0.013061
31	0	0
32	0	0
33	0	0
34	0	0
At locus 3
1	0.357464	0.0469491
2	0.251585	0.0438366
3	0.352504	0.0480728
4	0.0313709	0.0186549
5	0.00365667	0.00553625
6	0.00139353	0.00290477
7	0.00202558	0.00382255
8	0	0
9	0	0
10	0	0
11	0	0
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 4
1	0.13968	0.0354656
2	0.145954	0.037195
3	0.559046	0.0511092
4	0.0821676	0.0268121
5	0.00348173	0.00534759
6	0.0625805	0.025397
7	0.00709005	0.00821991
8	0	0
9	0	0
10	0	0
11	0	0
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 5
1	0.713833	0.0425386
2	0.0524942	0.0207245
3	0.00737986	0.00887381
4	0.00205488	0.00398923
5	0.152146	0.0334926
6	0.00452538	0.00824928
7	0.00456603	0.00659605
8	0.0453622	0.01857
9	0.00187221	0.00357543
10	0.00178689	0.00351866
11	0.00157568	0.00324036
12	0.012403	0.0085622
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 6
1	0.284532	0.0434324
2	0.353	0.0454196
3	0.137872	0.0318667
4	0.0489334	0.0199794
5	0.0623366	0.0219769
6	0.0223107	0.0145436
7	0.03435	0.0184119
8	0.0320896	0.0149938
9	0.00918279	0.0101989
10	0.0112963	0.0109291
11	0.00409668	0.00620199
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 7
1	0.206671	0.0381452
2	0.0398829	0.0195552
3	0.0694058	0.0256932
4	0.080441	0.0252085
5	0.0909253	0.0303363
6	0.220755	0.0428953
7	0.0393526	0.0204205
8	0.101199	0.0298109
9	0.00728803	0.00892638
10	0.00318734	0.00520331
11	0.125762	0.0289038
12	0.00400078	0.00615735
13	0.00233786	0.00418552
14	0.00190718	0.00367461
15	0.00688373	0.00632411
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 8
1	0.0471235	0.0230371
2	0.290961	0.0440912
3	0.0303202	0.0160796
4	0.0111221	0.0111239
5	0.0938422	0.0311648
6	0.123394	0.034396
7	0.0340953	0.0217692
8	0.105194	0.0280665
9	0.0749847	0.0241967
10	0.0249878	0.0135163
11	0.00253529	0.00449609
12	0.0434699	0.0174916
13	0.0299922	0.0155928
14	0.0235185	0.0139665
15	0.00564073	0.00795307
16	0.0411385	0.0169845
17	0.00272397	0.00467893
18	0.00159689	0.00320544
19	0.0027771	0.00468908
20	0.0105811	0.00841627
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 9
1	0.205107	0.0400835
2	0.341005	0.0459818
3	0.166807	0.0357096
4	0.071897	0.027514
5	0.0332175	0.0168351
6	0.109124	0.0295005
7	0.0273451	0.0146528
8	0.0377021	0.0184722
9	0.00254745	0.00438603
10	0.00194312	0.00358435
11	0.00185893	0.00349034
12	0.00144471	0.00299116
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 10
1	0.00327538	0.00525626
2	0.141844	0.0345993
3	0.109015	0.0302318
4	0.0809732	0.0267499
5	0.0268924	0.0162597
6	0.0425308	0.0181317
7	0.0866524	0.0267331
8	0.0506441	0.0203028
9	0.0337163	0.0169592
10	0.0608506	0.0241367
11	0.0136148	0.0128466
12	0.10495	0.0296851
13	0.0159086	0.0133282
14	0.0143485	0.0103964
15	0.0149665	0.0129391
16	0.0127678	0.0123431
17	0.0841252	0.0274035
18	0.0105948	0.00826374
19	0.0175927	0.0120937
20	0.00515874	0.00753743
21	0.00572315	0.00745193
22	0.00309265	0.00492809
23	0.00324126	0.00529016
24	0.00657651	0.00691294
25	0.00239689	0.00430601
26	0.00329109	0.00516854
27	0.00239564	0.00410058
28	0.015604	0.0114143
29	0.00651527	0.00845134
30	0.00326524	0.00532368
31	0.00316219	0.00549362
32	0.00292596	0.00484477
33	0.00983005	0.008075
34	0.00155904	0.00317218

In population 3
At locus 1
1	0.0786746	0.0219515
2	0.04064	0.0177311
3	0.0758617	0.0229067
4	0.0602779	0.0192608
5	0.055254	0.0183911
6	0.0533031	0.0211397
7	0.00237172	0.00400052
8	0.0482369	0.0220966
9	0.0966688	0.028323
10	0.00278305	0.00458717
11	0.033254	0.0150692
12	0.0248254	0.014141
13	0.0460162	0.0173908
14	0.0333171	0.0151841
15	0.00590696	0.00686736
16	0.107936	0.0294497
17	0.0210042	0.0129397
18	0.0025082	0.0041223
19	0.000832359	0.00201369
20	0.0518568	0.0288682
21	0.0333013	0.015544
22	0.0814456	0.0228481
23	0.00419387	0.00588203
24	0.0342461	0.0177238
25	0.0034785	0.00556672
26	0.00101613	0.00242827
27	0.000789862	0.00197413
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 2
1	0.202979	0.0351944
2	0.104725	0.0304871
3	0.198923	0.0364459
4	0.0757225	0.0263647
5	0.0329301	0.0169802
6	0.199981	0.0340491
7	0.00432072	0.00614307
8	0.0162095	0.0106559
9	0.0030754	0.00512921
10	0.00127539	0.00314613
11	0.00499763	0.00606615
12	0.00138239	0.00308213
13	0.00108693	0.00246528
14	0.0030773	0.00487836
15	0.0432129	0.0175785
16	0.00349435	0.00530295
17	0.00492694	0.00675234
18	0.0219629	0.0119114
19	0.000999713	0.00246002
20	0.000994822	0.0023819
21	0.00156878	0.00329721
22	0.00145472	0.00308952
23	0.00109481	0.00246937
24	0.00103972	0.00242534
25	0.000949053	0.00223096
26	0.0215319	0.0124469
27	0.000941919	0.0022865
28	0.000985976	0.00237962
29	0.000401001	0.00145907
30	0.0437551	0.0177876
31	0	0
32	0	0
33	0	0
34	0	0
At locus 3
1	0.191219	0.0366778
2	0.29703	0.0410406
3	0.501438	0.046986
4	0.00444786	0.00547512
5	0.00215565	0.0038218
6	0.000899221	0.00211897
7	0.00280999	0.00530795
8	0	0
9	0	0
10	0	0
11	0	0
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 4
1	0.147261	0.034184
2	0.201854	0.0365187
3	0.537943	0.046488
4	0.0445147	0.0200297
5	0.0135734	0.00856073
6	0.0367709	0.015467
7	0.0180828	0.0157287
8	0	0
9	0	0
10	0	0
11	0	0
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 5
1	0.848157	0.0303477
2	0.0321566	0.0152305
3	0.00822928	0.00683751
4	0.00075879	0.00199737
5	0.0263844	0.0133366
6	0.00119632	0.00258532
7	0.00180886	0.00344497
8	0.0774271	0.0221491
9	0.00101544	0.00228993
10	0.00111997	0.00252443
11	0.000888517	0.0020911
12	0.000857329	0.00207402
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 6
1	0.477203	0.0470959
2	0.325178	0.0456711
3	0.0754451	0.0211666
4	0.0399126	0.0175772
5	0.0155561	0.0125802
6	0.0191468	0.0166649
7	0.0254199	0.0140066
8	0.0057166	0.00643214
9	0.00603939	0.00741828
10	0.00924774	0.00959997
11	0.00113469	0.00267545
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 7
1	0.125631	0.0298119
2	0.0943233	0.0247731
3	0.0707955	0.0242806
4	0.0432702	0.0163815
5	0.159787	0.0350691
6	0.323108	0.0417424
7	0.119781	0.0304217
8	0.0466146	0.0199378
9	0.00212497	0.00366795
10	0.0042573	0.00518494
11	0.00617373	0.00662105
12	0.00131885	0.00269742
13	0.00107299	0.00237783
14	0.00091593	0.00213641
15	0.000825676	0.00198333
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 8
1	0.0286409	0.0163108
2	0.288756	0.0428204
3	0.0213992	0.0128088
4	0.122425	0.0265721
5	0.077391	0.022001
6	0.178805	0.0348611
7	0.0537897	0.0219934
8	0.0335279	0.0185365
9	0.0178012	0.0143796
10	0.0862047	0.0259794
11	0.00113935	0.00251574
12	0.00606082	0.00683862
13	0.0377792	0.014568
14	0.00222315	0.00372738
15	0.00140358	0.00287392
16	0.00949847	0.00764914
17	0.0017234	0.00351517
18	0.00307092	0.00484298
19	0.00106625	0.00239283
20	0.0272942	0.0134551
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 9
1	0.154995	0.0320934
2	0.237717	0.0409288
3	0.345134	0.0424988
4	0.0496963	0.0188979
5	0.0269445	0.0166344
6	0.135085	0.0318058
7	0.00169252	0.0029896
8	0.0429582	0.0181648
9	0.00305805	0.00486254
10	0.000956765	0.00215486
11	0.000799154	0.00191171
12	0.000964296	0.00216648
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 10
1	0.00146191	0.00307361
2	0.133697	0.0310177
3	0.0211297	0.0140879
4	0.0712706	0.0220977
5	0.010639	0.00841399
6	0.00565571	0.0068606
7	0.0929648	0.0268263
8	0.00408009	0.00548955
9	0.0652383	0.022141
10	0.0733438	0.0272233
11	0.0387754	0.0174807
12	0.0180257	0.0151247
13	0.0230407	0.0139885
14	0.12712	0.0296758
15	0.0683506	0.0239615
16	0.0398074	0.0152281
17	0.0835617	0.0264387
18	0.000891718	0.00234501
19	0.0236874	0.0179172
20	0.00190781	0.00339374
21	0.0151445	0.0108728
22	0.000989752	0.00236358
23	0.00171883	0.00349379
24	0.00107212	0.00245129
25	0.00109395	0.00261327
26	0.00242698	0.00434417
27	0.0240177	0.0117095
28	0.0155554	0.0137259
29	0.00374899	0.00563626
30	0.00231249	0.00443359
31	0.00118505	0.00266958
32	0.0180213	0.0104334
33	0.00117179	0.00250975
34	0.00689207	0.00879097

In population 4
At locus 1
1	0.011537	0.0140646
2	0.0361965	0.0267586
3	0.0435935	0.0284564
4	0.020938	0.0204526
5	0.0141025	0.015246
6	0.105535	0.0390591
7	0.00235268	0.00473054
8	0.100983	0.0390363
9	0.107793	0.0481045
10	0.00182064	0.00410434
11	0.0125345	0.0162828
12	0.0160411	0.0146352
13	0.0188441	0.0199724
14	0.0413371	0.0278296
15	0.00345781	0.00669283
16	0.252698	0.054658
17	0.0132659	0.0141268
18	0.00705998	0.0101395
19	0.00111223	0.00320754
20	0.114619	0.049923
21	0.0176037	0.019951
22	0.017943	0.0222892
23	0.0029868	0.00598266
24	0.0318704	0.0265252
25	0.00227872	0.00468922
26	0.00100471	0.00338084
27	0.000491201	0.00216227
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 2
1	0.257261	0.053821
2	0.105128	0.0432131
3	0.184973	0.0522115
4	0.104913	0.040849
5	0.0142169	0.0170369
6	0.170601	0.0466843
7	0.00281518	0.00533875
8	0.021196	0.0166004
9	0.00251305	0.00560879
10	0.000667596	0.00244466
11	0.0123368	0.0136888
12	0.00107079	0.00314981
13	0.001131	0.00313967
14	0.00293647	0.00578835
15	0.00732527	0.009927
16	0.0053388	0.00842896
17	0.00361392	0.00603989
18	0.0119867	0.0150527
19	0.00100672	0.00312717
20	0.000985521	0.00312669
21	0.001287	0.00346335
22	0.00101218	0.00304725
23	0.00478284	0.00812084
24	0.000976644	0.00296488
25	0.000965216	0.00295253
26	0.0308005	0.0266701
27	0.00105523	0.00304434
28	0.0011478	0.00319525
29	0.000873622	0.00279211
30	0.0450819	0.0269246
31	0	0
32	0	0
33	0	0
34	0	0
At locus 3
1	0.194979	0.0539098
2	0.175711	0.0567252
3	0.576666	0.0709384
4	0.00784514	0.0103546
5	0.00159078	0.00405315
6	0.00437909	0.00776697
7	0.0388294	0.0197244
8	0	0
9	0	0
10	0	0
11	0	0
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 4
1	0.176093	0.060683
2	0.114857	0.0477708
3	0.511245	0.078082
4	0.13744	0.0415202
5	0.00176744	0.00460914
6	0.0323276	0.0225959
7	0.0262704	0.0243209
8	0	0
9	0	0
10	0	0
11	0	0
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
