Chain #6
Seed for random number generator: 6 51 52 8 11

Acceptance rates for chain #6 (%)
ptild: 25.9395
theta: 30.8874
p: 30.9348
F: 38.6244
Mt: 12.9984
nm: 27.9706
m: 51.8468

Migration rates
Into/From	1	2	3	4	5
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 7
1	0.199468	0.037599
2	0.0500473	0.0228885
3	0.0722354	0.0269419
4	0.0926733	0.0279015
5	0.0866735	0.0298349
6	0.220066	0.0431989
7	0.0552562	0.0260191
8	0.0869946	0.0269921
9	0.00526306	0.00720507
10	0.00373359	0.00558078
11	0.114593	0.0285303
12	0.00332202	0.00611201
13	0.00173556	0.00365987
14	0.000967201	0.00278615
15	0.00697129	0.00639595
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 8
1	0.0484032	0.0238933
2	0.297538	0.0436749
3	0.0348925	0.0178964
4	0.0145077	0.0131976
5	0.0820673	0.029421
6	0.122456	0.0342063
7	0.0289003	0.0187897
8	0.0940967	0.0260926
9	0.0706846	0.0239691
10	0.0273578	0.0146007
11	0.00310269	0.00510453
12	0.0467516	0.0183937
13	0.0357768	0.0179636
14	0.0184281	0.0128566
15	0.00571398	0.00815765
16	0.0516901	0.0192932
17	0.00277548	0.00495771
18	0.00191958	0.00350394
19	0.00264722	0.00465466
20	0.010291	0.00814799
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 9
1	0.216265	0.0419051
2	0.286653	0.0429597
3	0.17922	0.0375451
4	0.0790703	0.0296269
5	0.0384089	0.0187963
6	0.123879	0.0318661
7	0.0273702	0.0148979
8	0.0413744	0.0198576
9	0.00247471	0.00439576
10	0.0020358	0.0038273
11	0.00210352	0.00390036
