Chain #10
Seed for random number generator: 10 51 52 8 11

Acceptance rates for chain #10 (%)
ptild: 26.2901
theta: 25.9294
p: 31.444
F: 35.187
Mt: 11.2705
nm: 28.4698
m: 67.6872

Migration rates
Into/From	1	2	3	4	5
24	0.00716904	0.008266
25	0.0200144	0.0141778
26	0.00379252	0.00594418
27	0.00456066	0.00670498
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 2
1	0.182589	0.0382078
2	0.0495105	0.0238663
3	0.0804031	0.0295443
4	0.0917398	0.0293931
5	0.0235715	0.0156904
6	0.208179	0.0394189
7	0.0220499	0.0152964
8	0.0920234	0.0284083
9	0.0044204	0.00615271
10	0.00463294	0.00715593
11	0.0316267	0.0171913
12	0.00342857	0.00571952
13	0.00452558	0.00665444
14	0.00822146	0.00983696
15	0.0276995	0.0190962
16	0.0137187	0.00996745
17	0.055837	0.0222253
18	0.0167088	0.0117557
19	0.00522591	0.00694533
20	0.00339199	0.0055059
21	0.00725489	0.00911217
22	0.00275831	0.00488725
23	0.00293944	0.00493337
24	0.00172366	0.00352274
25	0.00204809	0.00411261
26	0.00299873	0.00469091
27	0.00187172	0.00373735
28	0.00233763	0.00432565
29	0.0233131	0.0124486
30	0.0232499	0.0123567
31	0	0
32	0	0
33	0	0
34	0	0
At locus 3
1	0.363401	0.0483046
2	0.247054	0.045257
3	0.353584	0.0486432
4	0.0282077	0.0173547
5	0.00458838	0.00669155
6	0.000932992	0.00243357
7	0.00223286	0.00387149
8	0	0
9	0	0
10	0	0
11	0	0
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 4
1	0.120014	0.0322877
2	0.164679	0.039681
3	0.56499	0.0499334
4	0.0790517	0.0259853
5	0.00561255	0.00731362
6	0.0579011	0.02457
7	0.00775121	0.00892104
8	0	0
9	0	0
10	0	0
11	0	0
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 5
1	0.713015	0.0439643
2	0.0412169	0.0182852
3	0.00989788	0.0110824
4	0.00247912	0.00440529
5	0.149341	0.0339613
6	0.00919009	0.0108108
7	0.00496503	0.0071236
8	0.0504014	0.020025
9	0.00215801	0.00406012
10	0.00214137	0.003883
11	0.00209666	0.00395415
12	0.0130978	0.00891039
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 6
1	0.300598	0.0458195
2	0.341064	0.0459912
3	0.137799	0.0330639
4	0.0522176	0.0215467
5	0.0528819	0.0198231
6	0.0227269	0.0146883
7	0.0322577	0.0180281
8	0.0352281	0.0160124
9	0.00925442	0.00997179
10	0.01058	0.0102035
11	0.00539171	0.00749978
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 7
1	0.20068	0.0389168
2	0.0489431	0.0226281
3	0.0726029	0.0267335
4	0.0921459	0.0279717
5	0.0851914	0.0296019
6	0.217357	0.0431322
7	0.0519949	0.0253094
8	0.0886266	0.0272583
9	0.00540506	0.00736063
10	0.00398771	0.00581712
11	0.116602	0.0289609
12	0.00444406	0.00668183
13	0.00248218	0.0045101
14	0.00217664	0.00409311
15	0.00736149	0.00666513
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 8
1	0.0483028	0.0237137
2	0.295415	0.0445961
3	0.0349512	0.0180248
4	0.0149596	0.0133079
5	0.0823254	0.0292162
6	0.122987	0.0338348
7	0.0269075	0.0175792
8	0.0927742	0.0260691
9	0.0699224	0.0240489
10	0.0289875	0.0149535
11	0.00253987	0.00481739
12	0.0477145	0.0190515
13	0.0375621	0.0186359
14	0.0178927	0.0127373
15	0.00548296	0.00797052
16	0.0525973	0.0199994
17	0.00272724	0.00502051
18	0.00199495	0.0036892
19	0.00289397	0.00509688
20	0.0110617	0.00863583
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 9
1	0.208499	0.0411651
2	0.291998	0.0434919
3	0.180038	0.0378026
4	0.0780588	0.0291789
5	0.0384438	0.0187613
6	0.125171	0.0320728
7	0.027941	0.0152508
8	0.0404828	0.0195565
9	0.00280843	0.00462804
10	0.00250378	0.00447446
11	0.00252923	0.00438939
12	0.00152502	0.00318554
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 10
1	0.00326499	0.00571285
2	0.138109	0.0341322
3	0.0968542	0.0288642
4	0.0926478	0.0296882
5	0.0236474	0.0163372
6	0.0482903	0.0199052
7	0.0845907	0.0262141
8	0.0384886	0.0178187
9	0.0467767	0.0217501
10	0.0611388	0.0241534
11	0.0177856	0.0155653
12	0.0870056	0.0262774
13	0.0154488	0.013164
14	0.0184926	0.0128798
15	0.0155154	0.0127971
16	0.0190078	0.0164831
17	0.08167	0.0279696
18	0.0115387	0.00898092
19	0.0203749	0.0134314
20	0.00550397	0.00809604
21	0.00677793	0.00858083
22	0.00296965	0.00505302
23	0.00435853	0.00671705
24	0.00162439	0.00348219
25	0.0029051	0.00498015
26	0.0048645	0.00691367
27	0.00362001	0.00579977
28	0.0160432	0.0114812
29	0.00641063	0.0078634
30	0.00433724	0.00648626
31	0.00326761	0.00596195
32	0.00511859	0.00730432
33	0.0106635	0.00862889
34	0.000887367	0.00236868

In population 3
At locus 1
1	0.0486076	0.022144
2	0.0585465	0.0244324
3	0.0918515	0.048168
4	0.0527483	0.0240909
5	0.0470354	0.0222908
6	0.0419878	0.0205804
7	0.0263026	0.0181289
8	0.0423424	0.0197288
9	0.0830994	0.029997
10	0.0123694	0.0105402
11	0.0354556	0.0192106
12	0.0884817	0.0362753
13	0.0318003	0.0171026
14	0.0435978	0.0211649
15	0.0148835	0.0113987
16	0.0379397	0.0178133
17	0.048353	0.0285141
18	0.0172792	0.0120067
19	0.00675406	0.00686365
20	0.0335548	0.0183813
21	0.0120697	0.00983942
22	0.0364268	0.0195858
23	0.0310217	0.0185489
24	0.0246481	0.0158794
25	0.017218	0.0129003
26	0.00929508	0.0083544
27	0.00633007	0.00674509
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 2
1	0.138597	0.0365261
2	0.0936781	0.0348252
3	0.144748	0.0382189
4	0.0941506	0.033602
5	0.0245205	0.0161116
6	0.138649	0.0353049
7	0.0276458	0.0167907
8	0.0490778	0.0236745
9	0.0168874	0.0122702
10	0.00927191	0.00851617
11	0.0438753	0.0269743
12	0.0067316	0.00682994
13	0.00654144	0.00686434
14	0.0255979	0.0163834
15	0.0494843	0.0233319
16	0.00801094	0.00747491
17	0.0310674	0.0182656
18	0.0157298	0.0110432
19	0.00614654	0.00645642
20	0.0114568	0.0100154
21	0.00835425	0.00807663
22	0.00932057	0.00835359
23	0.00509287	0.00570656
24	0.00458202	0.00521632
25	0.00448862	0.00514979
26	0.00540778	0.00598731
27	0.00528609	0.0055853
28	0.00456062	0.00520123
29	0.00405976	0.00508404
30	0.00697908	0.00683158
31	0	0
32	0	0
33	0	0
34	0	0
At locus 3
1	0.256155	0.0447141
2	0.278453	0.0488361
3	0.401364	0.0527096
4	0.0405588	0.0213806
5	0.0179723	0.0127391
6	0.00156807	0.0027066
7	0.00392877	0.0048407
8	0	0
9	0	0
10	0	0
11	0	0
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 4
1	0.167266	0.0405791
2	0.204622	0.0445164
3	0.455459	0.0550591
4	0.0665499	0.0251537
5	0.0119398	0.00958595
6	0.0736633	0.0282984
7	0.0205002	0.0138179
8	0	0
9	0	0
10	0	0
11	0	0
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 5
1	0.800809	0.0544334
2	0.0311498	0.0168027
3	0.024994	0.0165935
4	0.00475118	0.00543212
5	0.0626399	0.0282715
6	0.0121858	0.0105296
7	0.00903793	0.00824839
8	0.0320445	0.0178263
9	0.00707516	0.00707446
10	0.00761252	0.00712446
11	0.00493349	0.0053709
12	0.00276716	0.00388502
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 6
1	0.354198	0.0527607
2	0.320387	0.0499759
3	0.0682073	0.0264392
4	0.0488942	0.0212866
5	0.0483769	0.0234611
6	0.0273459	0.0163799
7	0.0499306	0.0226867
8	0.0120705	0.0101239
9	0.0212299	0.0141246
10	0.0374487	0.0194368
11	0.0119113	0.00978903
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 7
1	0.122536	0.0364388
2	0.0641252	0.0268202
3	0.10878	0.0422696
4	0.0467754	0.0226774
5	0.162498	0.040727
6	0.234857	0.0455126
7	0.0861307	0.0312989
8	0.0910731	0.0305314
9	0.0122426	0.0100298
10	0.0109438	0.00902606
11	0.0392206	0.0200311
12	0.00926331	0.00850138
13	0.00459213	0.00532
14	0.004262	0.00513012
15	0.00270022	0.00396488
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
At locus 8
1	0.116126	0.0437835
2	0.219389	0.0475632
3	0.0365044	0.0210703
4	0.0337085	0.0188455
5	0.114569	0.0353305
6	0.161642	0.0389247
7	0.0739311	0.0307406
8	0.0275224	0.0164806
9	0.0414939	0.0204717
10	0.0266761	0.0154609
11	0.00690211	0.00684552
12	0.0245225	0.0151895
13	0.0478126	0.0217126
14	0.0159623	0.0117575
15	0.0108963	0.00962517
16	0.0128099	0.0112106
17	0.00895249	0.00829249
18	0.00492266	0.00568115
