iter	Likelihood	Pr(X|S;M,F,p)	Pr(M|m)	f(m|psi)	f(p|theta,ptild)	f(theta)
1011300	-9494.92	-12697.4	-74.9087	15.8903	3304.07	-42.5593
1011400	-9592.58	-12752.6	-85.6281	15.8903	3270.4	-40.6887
1011500	-9533.5	-12699.6	-70.7393	15.8903	3261.53	-40.5474
1011600	-9534.8	-12671.2	-70.4827	15.8903	3230.91	-39.94
1011700	-9560.42	-12701.2	-76.0222	15.8903	3241.02	-40.1601
1011800	-9515.01	-12676.5	-83.6776	15.8903	3268.73	-39.4187
1011900	-9573.29	-12738.5	-76.6267	15.8903	3265.35	-39.4413
1012000	-9574.82	-12745.9	-77.3824	15.8903	3273.84	-41.2458
1012100	-9549.82	-12707.3	-75.4026	15.8903	3258.08	-41.0654
1012200	-9584.12	-12723	-70.8736	15.8903	3233.25	-39.3846
1012300	-9594.31	-12702.9	-78.1103	15.8903	3209.88	-39.105
1012400	-9564.3	-12707.1	-81.3647	15.8903	3247.03	-38.7524
1012500	-9514.36	-12689.1	-76.254	15.8903	3274.75	-39.631
1012600	-9535.02	-12740.7	-74.3369	15.8903	3305.77	-41.6685
1012700	-9473.1	-12695	-80.6421	15.8903	3328.77	-42.118
1012800	-9535.61	-12712.2	-70.3836	15.8903	3270.75	-39.6646
1012900	-9547.72	-12744.2	-82.4583	15.8903	3306.42	-43.3847
1013000	-9621.62	-12785.7	-82.8838	15.8903	3275.39	-44.2992
1013100	-9512.76	-12723.6	-78.8529	15.8903	3319.06	-45.2707
1013200	-9474.46	-12711.2	-74.9543	15.8903	3343.59	-47.7794
1013300	-9517.52	-12735.8	-84.6341	15.8903	3335.69	-48.6596
1013400	-9520.68	-12760.8	-70.9961	15.8903	3343.06	-47.876
1013500	-9497.76	-12742.3	-74.6651	15.8903	3350.35	-47.0478
1013600	-9484.35	-12710.5	-77.5907	15.8903	3332.6	-44.7349
1013700	-9455.13	-12736.4	-66.6692	15.8903	3380.53	-48.4346
1013800	-9384.3	-12647.6	-67.6361	15.8903	3360.89	-45.8683
1013900	-9438.81	-12688.8	-78.3239	15.8903	3356.09	-43.6799
1014000	-9403.23	-12668.3	-72.208	15.8903	3365.01	-43.6238
1014100	-9440.36	-12674.7	-79.7942	15.8903	3340.13	-41.8818
1014200	-9473.35	-12730.7	-82.6602	15.8903	3367.11	-43.0049
1014300	-9442.24	-12714.5	-73.7172	15.8903	3372.79	-42.6579
1014400	-9525.2	-12752.2	-79.0746	15.8903	3333.77	-43.6284
1014500	-9484.71	-12738.9	-68.9249	15.8903	3351.52	-44.245
1014600	-9443.82	-12696.4	-67.0962	15.8903	3347.95	-44.149
1014700	-9421.01	-12677.2	-67.0918	15.8903	3350.89	-43.5012
1014800	-9377.15	-12649	-65.1617	15.8903	3363.06	-41.9921
1014900	-9416.91	-12658.3	-75.1211	15.8903	3341.37	-40.7407
1015000	-9395.83	-12639.9	-84.2114	15.8903	3352.97	-40.5421
1015100	-9436.3	-12674.5	-82.7505	15.8903	3345.46	-40.445
1015200	-9485.67	-12668.9	-81.9233	15.8903	3290.63	-41.3951
1015300	-9494.7	-12693.9	-79.8505	15.8903	3307.91	-44.7218
1015400	-9511.52	-12695.2	-77.8856	15.8903	3289.07	-43.3999
1015500	-9467.79	-12656.1	-84.2742	15.8903	3300.07	-43.4328
1015600	-9459	-12697.6	-79.1288	15.8903	3345.15	-43.3436
1015700	-9457.5	-12660.7	-66.0191	15.8903	3294.59	-41.2829
1015800	-9513.66	-12700.8	-81.721	15.8903	3293.21	-40.288
1015900	-9548.78	-12748.8	-77.3984	15.8903	3301.78	-40.2954
1016000	-9547.33	-12727.7	-85.7524	15.8903	3290.55	-40.3433
1016100	-9491.4	-12687.3	-64.5699	15.8903	3284.31	-39.7778
1016200	-9470.83	-12672.2	-73.3032	15.8903	3297.75	-38.9764
1016300	-9551.99	-12709.2	-73.4774	15.8903	3254.88	-40.0399
1016400	-9505.28	-12677.9	-78.818	15.8903	3276.23	-40.6439
1016500	-9548.49	-12674.8	-68.9439	15.8903	3218.36	-38.9884
1016600	-9541.6	-12677.7	-67.7428	15.8903	3226.31	-38.4056
1016700	-9555.17	-12680.3	-76.074	15.8903	3221.45	-36.1634
1016800	-9580.59	-12695.2	-73.7302	15.8903	3208.64	-36.1688
1016900	-9577.41	-12705.7	-80.0501	15.8903	3230.17	-37.7645
1017000	-9545.57	-12676.7	-74.394	15.8903	3225.4	-35.7989
1017100	-9602.39	-12681.6	-76.5249	15.8903	3176.68	-36.8196
1017200	-9603.26	-12714.8	-67.5611	15.8903	3203.87	-40.6757
1017300	-9587.43	-12703	-69.1709	15.8903	3208.32	-39.4231
1017400	-9581.41	-12674.1	-74.6682	15.8903	3190.41	-38.9886
1017500	-9550.36	-12691.8	-75.3212	15.8903	3239.98	-39.0679
1017600	-9565.59	-12692.3	-71.4802	15.8903	3222.33	-40.0623
1017700	-9544.43	-12691.3	-63.6516	15.8903	3236.51	-41.842
1017800	-9588.98	-12703.1	-79.1835	15.8903	3218.14	-40.7584
1017900	-9566.19	-12694.3	-77.516	15.8903	3229.71	-39.9409
1018000	-9559.61	-12705.3	-72.46	15.8903	3242.35	-40.1196
1018100	-9476.42	-12636.9	-71.9158	15.8903	3256.47	-39.9966
1018200	-9533	-12678.9	-83.1727	15.8903	3251.69	-38.5422
1018300	-9592.2	-12699.7	-73.9711	15.8903	3204.07	-38.4562
1018400	-9579	-12691.7	-78.8785	15.8903	3216.27	-40.5759
1018500	-9536.17	-12687.2	-78.6259	15.8903	3254.09	-40.3607
1018600	-9597.4	-12721.3	-87.2586	15.8903	3236.33	-41.0411
1018700	-9565.86	-12687.8	-90.2097	15.8903	3237.27	-41.019
1018800	-9627.37	-12748.3	-70.1283	15.8903	3214.15	-38.9409
1018900	-9598.95	-12725.9	-86.2609	15.8903	3238.35	-41.0305
1019000	-9633.89	-12776.7	-73.8614	15.8903	3242.66	-41.8778
1019100	-9614.81	-12747	-69.6579	15.8903	3228.58	-42.6547
1019200	-9640.16	-12774.4	-70.7309	15.8903	3235.11	-46.0514
1019300	-9605.83	-12760.2	-68.4031	15.8903	3252.22	-45.3727
1019400	-9573.88	-12748	-71.6455	15.8903	3275.68	-45.7878
1019500	-9589.07	-12784	-76.2684	15.8903	3304.47	-49.1589
1019600	-9542.7	-12738.7	-64.0745	15.8903	3291.76	-47.5482
1019700	-9590.62	-12730.4	-68.218	15.8903	3238.77	-46.6168
1019800	-9621.02	-12794.4	-58.1555	15.8903	3260.43	-44.7843
1019900	-9638.64	-12755.2	-73.9105	15.8903	3218.36	-43.7318
1020000	-9609.14	-12722.6	-76.7888	15.8903	3216.34	-42.0208
1020100	-9645.04	-12727	-77.1533	15.8903	3186.68	-43.4142
1020200	-9664.89	-12760	-77.587	15.8903	3201.06	-44.2688
1020300	-9633.89	-12748.9	-71.5066	15.8903	3213.22	-42.5384
1020400	-9665.69	-12735.6	-81.7904	15.8903	3178.06	-42.2149
1020500	-9681.21	-12745.8	-78.8246	15.8903	3169.8	-42.3012
1020600	-9593.85	-12687.8	-66.5785	15.8903	3188.29	-43.6501
1020700	-9599.25	-12680.8	-82.4234	15.8903	3191.44	-43.3272
1020800	-9591.86	-12672.1	-82.2072	15.8903	3187.45	-40.8779
1020900	-9653.63	-12732.9	-75.8695	15.8903	3180.62	-41.3576
1021000	-9635.91	-12764.6	-79.2932	15.8903	3234.82	-42.721
1021100	-9587.97	-12733.9	-65.8487	15.8903	3238.58	-42.6744
1021200	-9595.35	-12744.8	-63.1485	15.8903	3239.42	-42.7165
1021300	-9599.56	-12728	-65.8989	15.8903	3219.62	-41.1316
1021400	-9604.83	-12723.2	-78.8937	15.8903	3226.31	-44.9338
1021500	-9587.5	-12701.6	-70.3255	15.8903	3212.18	-43.6135
1021600	-9660.84	-12735.8	-75.3193	15.8903	3174.45	-40.0743
1021700	-9642.82	-12709.7	-67.5295	15.8903	3159.79	-41.3097
1021800	-9672.72	-12749.2	-75.5569	15.8903	3177.17	-41.0023
1021900	-9598.94	-12709.6	-72.3929	15.8903	3206.79	-39.611
1022000	-9608.38	-12705.3	-74.3741	15.8903	3192.88	-37.5147
1022100	-9644.91	-12727.2	-77.836	15.8903	3184.82	-40.5675
1022200	-9644.72	-12744.9	-62.7811	15.8903	3187.97	-40.8582
1022300	-9576.91	-12688.8	-68.3916	15.8903	3205.35	-40.9863
1022400	-9621.76	-12718.1	-69.0145	15.8903	3189.45	-39.9549
1022500	-9570.18	-12698.6	-67.5145	15.8903	3223.19	-43.1154
1022600	-9611.64	-12751.7	-73.0169	15.8903	3242.22	-45.0644
1022700	-9634.12	-12742.1	-77.8442	15.8903	3211.91	-41.9677
1022800	-9650.96	-12752.3	-69.6927	15.8903	3197.26	-42.0775
1022900	-9604.41	-12679.9	-71.5318	15.8903	3171.03	-39.8988
1023000	-9613.91	-12713.2	-65.6635	15.8903	3190.03	-40.999
1023100	-9621.8	-12716.2	-74.2775	15.8903	3193.96	-41.143
1023200	-9603.37	-12738	-77.3674	15.8903	3238.9	-42.8082
1023300	-9646.4	-12782.1	-68.5132	15.8903	3232.65	-44.3074
1023400	-9623.24	-12743.8	-81.74	15.8903	3231.8	-45.4287
1023500	-9649.8	-12777.4	-74.3319	15.8903	3233.04	-46.9976
1023600	-9591.28	-12721.8	-89.8565	15.8903	3250.42	-45.9881
1023700	-9604.13	-12715.4	-85.9511	15.8903	3224.62	-43.2624
1023800	-9581.5	-12714.4	-77.1972	15.8903	3239.12	-44.9469
1023900	-9585.8	-12727.6	-81.0164	15.8903	3253.03	-46.1313
1024000	-9542.94	-12705.3	-72.3334	15.8903	3264.81	-45.9749
1024100	-9561.7	-12692.3	-84.7169	15.8903	3244.33	-44.9065
1024200	-9561.84	-12687.5	-79.2181	15.8903	3233.74	-44.7288
1024300	-9581.44	-12690.8	-80.1067	15.8903	3217.11	-43.4858
1024400	-9588.48	-12699.1	-77.0789	15.8903	3215.21	-43.3539
1024500	-9609.13	-12701.4	-78.3965	15.8903	3196.79	-42.0362
1024600	-9629.56	-12700	-80.472	15.8903	3176.71	-41.6746
1024700	-9614.44	-12722.8	-82.6703	15.8903	3218.58	-43.4029
1024800	-9611.58	-12749.5	-71.8969	15.8903	3240.45	-46.5593
1024900	-9587.14	-12714.3	-77.436	15.8903	3232.45	-43.7517
1025000	-9580.75	-12734.4	-80.9144	15.8903	3263.19	-44.4671
1025100	-9551.32	-12715.5	-76.4125	15.8903	3269.43	-44.6975
1025200	-9553.53	-12759.1	-75.2661	15.8903	3312.68	-47.7132
1025300	-9574.7	-12734.4	-86.9865	15.8903	3277.61	-46.7737
1025400	-9508.29	-12703.8	-71.9152	15.8903	3296.61	-45.101
1025500	-9562.56	-12759	-80.5306	15.8903	3306.83	-45.7449
1025600	-9548.83	-12724.4	-67.3081	15.8903	3271.18	-44.1893
1025700	-9568.74	-12714.8	-80.5043	15.8903	3255.74	-45.0819
1025800	-9547.82	-12719.2	-75.1114	15.8903	3272.45	-41.815
1025900	-9555.09	-12704.1	-82.5827	15.8903	3258.39	-42.6459
1026000	-9569.94	-12710.8	-68.3914	15.8903	3236.72	-43.3107
1026100	-9567.11	-12711.2	-81.0482	15.8903	3251.01	-41.7463
1026200	-9536.96	-12691.4	-75.8071	15.8903	3258.96	-44.5817
1026300	-9556.82	-12704.9	-76.33	15.8903	3251.39	-42.8398
1026400	-9473.84	-12670.4	-77.7351	15.8903	3301.24	-42.8478
1026500	-9458.92	-12676.1	-66.4339	15.8903	3309.04	-41.3473
1026600	-9499.77	-12714.8	-68.4483	15.8903	3308.67	-41.092
1026700	-9472.83	-12647.2	-80.8043	15.8903	3281.65	-42.3569
1026800	-9516.51	-12707.7	-82.9195	15.8903	3300.41	-42.2111
1026900	-9486.14	-12702.1	-70.8963	15.8903	3312.64	-41.6543
1027000	-9485.41	-12673.3	-79.715	15.8903	3292.39	-40.6389
1027100	-9466.46	-12676.7	-69.5849	15.8903	3302.97	-39.079
1027200	-9478.93	-12692.3	-69.6622	15.8903	3306.06	-38.9564
1027300	-9522.19	-12745.8	-78.9098	15.8903	3328.73	-42.0962
1027400	-9458.93	-12673.6	-76.9847	15.8903	3314.32	-38.586
1027500	-9428.15	-12616.1	-73.3878	15.8903	3284.4	-38.9596
1027600	-9441.08	-12686.9	-72.8104	15.8903	3342.96	-40.2525
1027700	-9447.23	-12700.8	-76.7638	15.8903	3354.17	-39.7486
1027800	-9445.11	-12665.7	-81.3585	15.8903	3325.58	-39.4992
1027900	-9433.77	-12657.4	-73.1309	15.8903	3319.35	-38.513
1028000	-9410.81	-12669.1	-71.0135	15.8903	3354.17	-40.7452
1028100	-9414.91	-12675.7	-90.6555	15.8903	3377.32	-41.8113
1028200	-9391.2	-12662	-79.8631	15.8903	3374.52	-39.763
1028300	-9371.81	-12641.8	-75.0033	15.8903	3369.83	-40.7499
1028400	-9410.36	-12645.9	-75.1575	15.8903	3333.88	-39.0439
