"study_code","fst","lon1","lat1","lon2","lat2","site_id1","site_id2","distance_km"
"SAFO-9",0.567683539194796,-81.72935,36.34523,-82.21049,36.17373,72,2,47.2195465033995
"SAFO-9",0.385471532110193,-81.85836,36.49622,-82.21049,36.17373,73,2,47.8109817801348
"SAFO-9",0.421954681158722,-82.59005,36.06438,-82.21049,36.17373,74,2,36.2369514892278
"SAFO-9",0.361015020734566,-82.58566,36.05539,-82.21049,36.17373,75,2,36.2190680545155
"SAFO-9",0.302553884433245,-82.58607,36.05955,-82.21049,36.17373,76,2,36.0868839751118
"SAFO-9",0.575805981262201,-81.84345,36.49853,-82.21049,36.17373,77,2,48.8939185575619
"SAFO-9",0.449756452612794,-81.79425,36.53867,-82.21049,36.17373,78,2,55.1622563898524
"SAFO-9",0.588747917692813,-81.68159,36.61056,-82.21049,36.17373,79,2,67.903238035228
"SAFO-9",0.448001914331761,-81.70377,36.5008,-82.21049,36.17373,80,2,58.2263760069902
"SAFO-9",0.613845407267626,-81.82011,36.58361,-82.21049,36.17373,81,2,57.4979209129394
"SAFO-9",0.434559139441894,-81.83662,36.57946,-82.21049,36.17373,82,2,56.2385479583004
"SAFO-9",0.382568927120378,-81.85557,36.57096,-82.21049,36.17373,83,2,54.4735538115925
"SAFO-9",0.382424654492677,-81.92599,36.49242,-82.21049,36.17373,84,2,43.6977812042376
"SAFO-9",0.403299907512771,-81.87799,36.54977,-82.21049,36.17373,85,2,51.388160974313
"SAFO-9",0.372675563936624,-81.89432,36.53017,-82.21049,36.17373,86,2,48.7638666591909
"SAFO-9",0.429614860898305,-81.91977,36.50219,-82.21049,36.17373,87,2,44.9058374363613
"SAFO-9",0.391220965204483,-81.94041,36.4943,-82.21049,36.17373,88,2,43.1284435309773
"SAFO-9",0.342366393364589,-81.83353,36.58146,-82.21049,36.17373,89,2,56.5821757279429
"SAFO-9",0.439976440272075,-81.89132,36.60291,-82.21049,36.17373,90,2,55.6832283777586
"SAFO-9",0.214771465651175,-82.0668,36.2918,-82.21049,36.17373,91,2,18.4179601128189
"SAFO-9",0.608162973437441,-83.01175,35.79745,-82.21049,36.17373,92,2,83.4480404476966
"SAFO-9",0.673533535762814,-83.00027,35.8005,-82.21049,36.17373,93,2,82.3823911104797
"SAFO-9",0.655556686705552,-83.00793,35.7934,-82.21049,36.17373,94,2,83.3802281618837
"SAFO-9",0.52763113536427,-82.95904,35.88346,-82.21049,36.17373,95,2,74.7355726776765
"SAFO-9",0.588112630824888,-82.92706,35.86268,-82.21049,36.17373,96,2,73.2229649110731
"SAFO-9",0.496986568258267,-82.8277,35.95855,-82.21049,36.17373,97,2,60.4841193300423
